episode,lam_util,lam_tp,mean_util_gap,mean_tp_gap,mean_util_slack,mean_tp_slack,util_slack_ema,tp_slack_ema
1,0.0,0.9004030945459348,0.0001384616828508067,0.009019118632661395,0.4701129744478514,-0.001459173113637364,0.1410338923343554,-0.0004377519340912092
2,0.0,0.0,0.03527408947829175,0.005186231727307897,0.2779928593189528,0.0072720363762367925,0.18212158242973459,0.001875184559007191
3,1.1197949147217565,10.575316341590177,0.08529355162928433,0.023125946362418808,-0.002736583191132283,-0.023125372571007136,0.12666413274347452,-0.005624982579997107
4,0.17832196625367147,14.432509273974526,0.11120277402803155,0.012867520914716936,0.02397042251435177,-0.009754761583933343,0.09585601967473768,-0.006863916281177978
5,0.0,26.94742339343868,0.017475000706995886,0.01992738438300425,0.07791696832659964,-0.01992738438300425,0.09047430427029626,-0.010782956711725859
6,0.0,35.82008933125089,0.045228638685216226,0.011213742842468608,0.13542543237374877,-0.010885518047893143,0.10395964270133201,-0.010813725112576044
7,0.0,51.03325619831802,0.02254416853341889,0.020256613426945107,0.12894890028779785,-0.020011279185318077,0.11145641997727176,-0.013572991334398654
8,0.0,51.90646962943054,0.0,0.001044082115077798,0.4390987955864459,0.010010643649715566,0.20974913266002398,-0.006497900839164388
9,2.323674189272989,69.17678254755789,0.22544811199271683,0.02179580305715541,-0.22203813190800364,-0.021570540071134896,0.0802129532896157,-0.01101969260875554
10,0.0,81.71218402997988,0.09179133109697762,0.01888761918888477,0.053262540485438756,-0.01888761918888477,0.0721278294483626,-0.013380070582794308
11,0.0,88.14198422514482,0.0,0.008094118675221505,0.4266272943872689,-0.0013590676648568294,0.17847766893003447,-0.009773769707413064
12,0.0,95.95307034700524,0.002796454727301496,0.009072859361624944,0.39770488169521545,-0.0019282821589895998,0.24424583275958875,-0.0074201234428860246
13,0.0,101.87072893596734,0.04639676832004746,0.004288492451630902,0.0831849250666075,-0.0018382734716621608,0.19592756045169438,-0.005745568451518865
14,0.0,111.96606084350233,0.1738908545508252,0.01343807931627957,0.06070237535801884,-0.013063247535545042,0.1553600049235917,-0.007940872176726718
15,0.0,104.39206997942283,0.0,0.0014238071515823097,0.6107892602341539,0.02209498444452809,0.29198878151676033,0.0010698848096497241
16,0.0,103.52398439865377,0.0,0.004004476348158986,0.6072095516435159,0.010035674943623797,0.38655501255478697,0.003759621849841946
17,0.6149512821123246,106.79202318319085,0.03890869400313378,0.009689484920990497,0.04640035995196499,-0.008079528388247475,0.28450861677394035,0.00020787677841511976
18,0.0,104.61919246221412,0.0014321246601455946,0.007843400437535893,0.23982294704614554,0.0006017963760155397,0.27110291585560187,0.0003260526576952457
19,0.0,113.80783270254739,0.028615058299680134,0.019965903895456483,0.2519189923095984,-0.019373124338947344,0.2653477387918008,-0.005583700441297531
20,0.0,122.12199507194579,0.004112243602790302,0.017428155602958503,0.38888944967236544,-0.017428155602958503,0.30241025205597016,-0.009137036989795823
21,0.0,132.13514469110834,0.00026730066581259277,0.014663663872328895,0.18486499568964157,-0.014663663872328895,0.2671466751460716,-0.010795025054555745
22,0.0,140.95849064643002,0.0014461014564010506,0.01100580054280893,0.3490827778394634,-0.008414431165276386,0.29172750595408914,-0.010080846887771937
23,0.0,155.50989453447545,0.1548201970263576,0.018662639851129616,0.0975213974968798,-0.018650571714608533,0.23346567341692634,-0.012651764335822914
24,0.0,164.44669472518123,0.002158662719234555,0.011799922171421095,0.3926493020437929,-0.007590294708548674,0.28122076200498625,-0.011133323447640642
25,0.0,173.4670610412928,0.0016112094158072972,0.008044563449493874,0.23660930746818426,-0.005149620165098497,0.26783732564394563,-0.009338212462877998
26,0.0,188.9064796986614,0.0032831964012673296,0.020179151425605675,0.10011560661841214,-0.020179151425605675,0.2175208099362856,-0.012590494151696302
27,0.0,195.56487772311462,5.791934855442405e-05,0.004953891113838382,0.3087163762708645,-0.003619753979125619,0.24487947983665925,-0.009899272099925097
28,0.0,207.23778252631448,0.0,0.0125903089706964,0.38342608778292153,-0.010790983927819178,0.28644346222053796,-0.01016678564829332
29,1.3873987579628753,226.95507204305656,0.1686924448933872,0.030342328653778478,-0.16741357670397575,-0.030342328653778478,0.15028635054318384,-0.016219448549938866
30,0.0,231.5120732012276,0.0,0.0035576408292919345,0.728899411671296,0.0017724596603633236,0.3238702688816175,-0.010821876086848209
31,0.0,246.47025754734088,0.0010762056125974543,0.01403458152434812,0.10322544664502517,-0.013816713644597642,0.2576768222106398,-0.011720327354173037
32,0.0,263.4295185780851,0.21860022184080286,0.023570659250492967,0.027411766994556705,-0.023570659250492967,0.18859730564581487,-0.015275426923069015
33,0.0,279.21836029238625,0.002214998209815877,0.020048843580481115,0.11896881254319383,-0.020048269789069442,0.16770875771502852,-0.016707279782869143
34,0.0,294.2973458797476,0.08450763409997514,0.015457294917735972,0.023292344496127177,-0.01480651360451953,0.1243838337493581,-0.01613704992936426
35,0.0,303.8633488919992,0.002651002244579247,0.0045163689558912765,0.1492441476027204,-0.0018533794213118984,0.13184192790536678,-0.01185194877694855
