method,training_seed,checkpoint_steps,selection_status,eval_seed,throughput,cost_per_unit,total_cost,util_satisfied,tp_satisfied,util_0,util_1,util_2,util_3
v6,7,1400000,fallback,11000,16.0,156.78124999999991,2508.4999999999986,1,0,0.81875,0.5645833333333333,0.5666666666666667,0.9
v6,7,1400000,fallback,11001,14.0,202.04999999999987,2828.699999999998,1,0,0.9395833333333333,0.525,0.5479166666666667,0.9645833333333333
v6,7,1400000,fallback,11002,16.0,151.875,2430.0,1,0,0.7791666666666667,0.4583333333333333,0.5520833333333334,0.9833333333333333
v6,7,1400000,fallback,11003,18.0,164.7333333333333,2965.1999999999994,1,1,0.96875,0.5229166666666667,0.7541666666666667,0.9583333333333334
v6,7,1400000,fallback,11004,19.0,150.25789473684208,2854.8999999999996,1,1,0.9520833333333333,0.4625,0.6125,0.9104166666666667
v6,7,1400000,fallback,11005,17.0,159.95882352941166,2719.2999999999984,1,0,0.88125,0.4041666666666667,0.64375,0.9458333333333333
v6,7,1400000,fallback,11006,16.0,152.0875,2433.4,1,0,0.71875,0.47708333333333336,0.6166666666666667,0.9541666666666667
v6,7,1400000,fallback,11007,15.0,164.5800000000001,2468.7000000000016,1,0,0.825,0.3645833333333333,0.525,0.94375
v6,7,1400000,fallback,11008,17.0,153.53529411764703,2610.0999999999995,1,0,0.84375,0.4375,0.6395833333333333,0.9270833333333334
v6,7,1400000,fallback,11009,17.0,161.0058823529411,2737.0999999999985,1,0,0.85625,0.49166666666666664,0.6541666666666667,0.9645833333333333
v6,7,1400000,fallback,11010,17.0,162.83529411764698,2768.199999999999,1,0,0.9166666666666666,0.44375,0.6020833333333333,0.9145833333333333
v6,7,1400000,fallback,11011,18.0,163.61666666666665,2945.0999999999995,1,1,0.9979166666666667,0.31666666666666665,0.8041666666666667,0.9458333333333333
v6,7,1400000,fallback,11012,15.0,159.09999999999997,2386.4999999999995,1,0,0.8020833333333334,0.2791666666666667,0.6416666666666667,0.86875
v6,7,1400000,fallback,11013,19.0,149.67368421052637,2843.800000000001,1,1,0.9604166666666667,0.18541666666666667,0.8520833333333333,0.80625
v6,7,1400000,fallback,11014,18.0,158.67222222222225,2856.1000000000004,1,1,0.9916666666666667,0.33125,0.69375,0.9583333333333334
v6,7,1400000,fallback,11015,18.0,156.02777777777789,2808.500000000002,1,1,0.9416666666666667,0.5416666666666666,0.73125,0.9416666666666667
v6,7,1400000,fallback,11016,18.0,143.78333333333336,2588.1000000000004,1,1,0.8479166666666667,0.45208333333333334,0.56875,0.9583333333333334
v6,7,1400000,fallback,11017,16.0,171.98750000000013,2751.800000000002,1,0,0.9375,0.4979166666666667,0.5145833333333333,0.9479166666666666
v6,7,1400000,fallback,11018,19.0,144.63157894736833,2747.999999999998,1,1,0.9104166666666667,0.5958333333333333,0.6729166666666667,0.9375
v6,7,1400000,fallback,11019,16.0,159.0125000000001,2544.2000000000016,1,0,0.8291666666666667,0.37916666666666665,0.7145833333333333,0.88125
v6,7,1400000,fallback,11020,18.0,152.65555555555548,2747.799999999999,1,1,0.8458333333333333,0.6895833333333333,0.54375,0.9645833333333333
v6,7,1400000,fallback,11021,17.0,159.77647058823536,2716.200000000001,1,0,0.8645833333333334,0.40208333333333335,0.6916666666666667,0.9604166666666667
v6,7,1400000,fallback,11022,14.0,189.97857142857154,2659.7000000000016,1,0,0.9979166666666667,0.35,0.6458333333333334,0.8270833333333333
v6,7,1400000,fallback,11023,16.0,193.0499999999999,3088.7999999999984,1,0,0.94375,0.44166666666666665,0.66875,0.9354166666666667
v6,7,1400000,fallback,11024,20.0,148.24500000000006,2964.9000000000015,1,1,0.98125,0.44166666666666665,0.825,0.9104166666666667
v6,7,1400000,fallback,11025,16.0,158.51249999999993,2536.199999999999,1,0,0.875,0.40625,0.6270833333333333,0.9
v6,7,1400000,fallback,11026,16.0,158.89374999999995,2542.2999999999993,1,0,0.7729166666666667,0.41875,0.6645833333333333,0.91875
v6,7,1400000,fallback,11027,18.0,150.9166666666666,2716.4999999999986,1,1,0.94375,0.42291666666666666,0.6854166666666667,0.9291666666666667
v6,7,1400000,fallback,11028,19.0,165.67894736842095,3147.8999999999983,1,1,0.9708333333333333,0.4583333333333333,0.7916666666666666,0.98125
v6,7,1400000,fallback,11029,17.0,173.62352941176468,2951.5999999999995,1,0,0.925,0.39166666666666666,0.78125,0.9104166666666667
v6,7,1400000,fallback,11030,18.0,152.8166666666666,2750.699999999999,1,1,0.89375,0.48125,0.6041666666666666,0.9729166666666667
v6,7,1400000,fallback,11031,17.0,166.62941176470585,2832.6999999999994,1,0,0.95,0.4395833333333333,0.69375,0.9083333333333333
v6,7,1400000,fallback,11032,17.0,167.67058823529405,2850.3999999999987,1,0,0.95625,0.375,0.7333333333333333,0.9375
v6,7,1400000,fallback,11033,18.0,142.9777777777778,2573.6000000000004,1,1,0.7833333333333333,0.5333333333333333,0.6416666666666667,0.9520833333333333
v6,7,1400000,fallback,11034,14.0,174.05,2436.7000000000003,1,0,0.7083333333333334,0.48541666666666666,0.5208333333333334,0.9520833333333333
v6,7,1400000,fallback,11035,18.0,145.8444444444445,2625.2000000000007,1,1,0.8416666666666667,0.5458333333333333,0.625,0.9583333333333334
v6,7,1400000,fallback,11036,17.0,164.24117647058824,2792.1000000000004,1,0,0.9145833333333333,0.3229166666666667,0.625,0.84375
v6,7,1400000,fallback,11037,14.0,152.04285714285714,2128.6,0,0,0.7270833333333333,0.2604166666666667,0.3770833333333333,0.9125
v6,7,1400000,fallback,11038,17.0,166.3764705882352,2828.3999999999987,1,0,0.91875,0.41041666666666665,0.75625,0.89375
v6,7,1400000,fallback,11039,16.0,166.96875000000006,2671.500000000001,1,0,0.8333333333333334,0.6020833333333333,0.5979166666666667,0.9541666666666667
v6,7,1400000,fallback,11040,13.0,207.50769230769225,2697.5999999999995,1,0,0.8020833333333334,0.5270833333333333,0.5583333333333333,0.8291666666666667
v6,7,1400000,fallback,11041,16.0,169.34375000000014,2709.5000000000023,1,0,0.8791666666666667,0.35208333333333336,0.7541666666666667,0.93125
v6,7,1400000,fallback,11042,17.0,179.31176470588235,3048.3,1,0,0.9916666666666667,0.26875,0.8416666666666667,0.89375
v6,7,1400000,fallback,11043,18.0,147.31666666666663,2651.6999999999994,1,1,0.7979166666666667,0.6333333333333333,0.625,0.975
v6,7,1400000,fallback,11044,18.0,148.30555555555554,2669.4999999999995,1,1,0.8916666666666667,0.41458333333333336,0.525,0.9416666666666667
v6,7,1400000,fallback,11045,15.0,191.99333333333337,2879.9000000000005,1,0,0.925,0.4166666666666667,0.6875,0.95
v6,7,1400000,fallback,11046,16.0,156.04375000000005,2496.7000000000007,1,0,0.8479166666666667,0.3770833333333333,0.6375,0.90625
v6,7,1400000,fallback,11047,17.0,156.4235294117648,2659.2000000000016,1,0,0.9041666666666667,0.325,0.6125,0.8666666666666667
v6,7,1400000,fallback,11048,17.0,172.4411764705883,2931.500000000001,1,0,0.9229166666666667,0.42083333333333334,0.7166666666666667,0.9375
v6,7,1400000,fallback,11049,17.0,162.01764705882346,2754.299999999999,1,0,0.9479166666666666,0.39166666666666666,0.75625,0.9520833333333333
