method,training_seed,checkpoint_steps,selection_status,eval_seed,throughput,cost_per_unit,total_cost,util_satisfied,tp_satisfied,util_0,util_1,util_2,util_3
v6,2024,1400000,satisfied,11000,20.0,128.60999999999999,2572.2,1,1,0.83125,0.5708333333333333,0.8541666666666666,0.9083333333333333
v6,2024,1400000,satisfied,11001,21.0,142.8428571428572,2999.700000000001,1,1,0.9416666666666667,0.6333333333333333,0.9104166666666667,0.96875
v6,2024,1400000,satisfied,11002,17.0,155.38823529411766,2641.6000000000004,1,0,0.8958333333333334,0.5270833333333333,0.7875,0.9583333333333334
v6,2024,1400000,satisfied,11003,22.0,130.1181818181818,2862.5999999999995,1,1,0.9041666666666667,0.5979166666666667,0.96875,0.9604166666666667
v6,2024,1400000,satisfied,11004,19.0,145.98947368421054,2773.8,1,1,0.875,0.6375,0.90625,0.9166666666666666
v6,2024,1400000,satisfied,11005,20.0,144.73999999999995,2894.7999999999993,1,1,0.85625,0.6020833333333333,0.9604166666666667,0.9520833333333333
v6,2024,1400000,satisfied,11006,17.0,150.53529411764714,2559.1000000000013,1,0,0.7770833333333333,0.4875,0.76875,0.9541666666666667
v6,2024,1400000,satisfied,11007,17.0,151.75882352941173,2579.899999999999,1,0,0.7645833333333333,0.4979166666666667,0.7979166666666667,0.94375
v6,2024,1400000,satisfied,11008,22.0,114.4,2516.8,1,1,0.7958333333333333,0.4791666666666667,0.8916666666666667,0.93125
v6,2024,1400000,satisfied,11009,19.0,152.85789473684216,2904.300000000001,1,1,0.9020833333333333,0.6229166666666667,0.9625,0.96875
v6,2024,1400000,satisfied,11010,18.0,164.6888888888889,2964.4,1,1,0.9208333333333333,0.5833333333333334,0.89375,0.9229166666666667
v6,2024,1400000,satisfied,11011,21.0,133.3190476190476,2799.7,1,1,0.9083333333333333,0.5770833333333333,0.86875,0.9458333333333333
v6,2024,1400000,satisfied,11012,20.0,123.075,2461.5,1,1,0.7125,0.4125,0.8833333333333333,0.8875
v6,2024,1400000,satisfied,11013,20.0,139.21500000000006,2784.300000000001,1,1,0.8041666666666667,0.5416666666666666,0.9291666666666667,0.94375
v6,2024,1400000,satisfied,11014,22.0,121.9090909090909,2682.0,1,1,0.7916666666666666,0.5166666666666667,0.9583333333333334,0.9854166666666667
v6,2024,1400000,satisfied,11015,21.0,117.1142857142857,2459.3999999999996,1,1,0.7979166666666667,0.58125,0.7770833333333333,0.9479166666666666
v6,2024,1400000,satisfied,11016,21.0,112.55238095238094,2363.6,1,1,0.675,0.48125,0.7875,0.9625
v6,2024,1400000,satisfied,11017,20.0,121.27500000000002,2425.5000000000005,1,1,0.675,0.34791666666666665,0.9375,0.9541666666666667
v6,2024,1400000,satisfied,11018,17.0,175.21176470588227,2978.5999999999985,1,0,0.9541666666666667,0.5895833333333333,0.8833333333333333,0.9416666666666667
v6,2024,1400000,satisfied,11019,19.0,134.91052631578947,2563.2999999999997,1,1,0.8229166666666666,0.525,0.8895833333333333,0.8895833333333333
v6,2024,1400000,satisfied,11020,21.0,136.38095238095238,2864.0,1,1,0.8854166666666666,0.6208333333333333,0.84375,0.96875
v6,2024,1400000,satisfied,11021,20.0,143.72000000000008,2874.400000000002,1,1,0.9520833333333333,0.55625,0.8875,0.9645833333333333
v6,2024,1400000,satisfied,11022,18.0,147.90000000000006,2662.200000000001,1,1,0.9145833333333333,0.4979166666666667,0.9229166666666667,0.8645833333333334
v6,2024,1400000,satisfied,11023,22.0,129.6727272727273,2852.8,1,1,0.91875,0.575,0.9395833333333333,0.9416666666666667
v6,2024,1400000,satisfied,11024,23.0,130.83913043478262,3009.3,1,1,0.99375,0.6729166666666667,0.9729166666666667,0.9541666666666667
v6,2024,1400000,satisfied,11025,19.0,134.2105263157895,2550.0000000000005,1,1,0.8020833333333334,0.4895833333333333,0.8166666666666667,0.9
v6,2024,1400000,satisfied,11026,19.0,141.84736842105266,2695.1000000000004,1,1,0.8583333333333333,0.5166666666666667,0.89375,0.91875
v6,2024,1400000,satisfied,11027,24.0,110.3875,2649.3,1,1,0.85,0.61875,0.91875,0.9375
v6,2024,1400000,satisfied,11028,20.0,153.385,3067.7,1,1,0.9854166666666667,0.6354166666666666,0.9270833333333334,0.9833333333333333
v6,2024,1400000,satisfied,11029,18.0,162.9666666666667,2933.4000000000005,1,1,0.9270833333333334,0.6083333333333333,0.8791666666666667,0.9125
v6,2024,1400000,satisfied,11030,21.0,136.19999999999996,2860.199999999999,1,1,0.8666666666666667,0.6875,0.9104166666666667,0.975
v6,2024,1400000,satisfied,11031,22.0,129.60000000000002,2851.2000000000003,1,1,0.9875,0.6104166666666667,0.8979166666666667,0.9458333333333333
v6,2024,1400000,satisfied,11032,20.0,137.66,2753.2,1,1,0.8229166666666666,0.55625,0.93125,0.9416666666666667
v6,2024,1400000,satisfied,11033,21.0,131.1047619047619,2753.1999999999994,1,1,0.8770833333333333,0.6625,0.8854166666666666,0.9541666666666667
v6,2024,1400000,satisfied,11034,21.0,145.19047619047618,3048.9999999999995,1,1,0.96875,0.6875,0.8854166666666666,0.9583333333333334
v6,2024,1400000,satisfied,11035,18.0,151.21666666666664,2721.8999999999996,1,1,0.8479166666666667,0.5354166666666667,0.95,0.9583333333333334
v6,2024,1400000,satisfied,11036,17.0,189.71764705882356,3225.2000000000007,1,0,0.9229166666666667,0.6229166666666667,0.8833333333333333,0.8875
v6,2024,1400000,satisfied,11037,21.0,111.44285714285711,2340.2999999999993,1,1,0.675,0.51875,0.79375,0.9270833333333334
v6,2024,1400000,satisfied,11038,21.0,132.6047619047619,2784.7,1,1,0.88125,0.5770833333333333,0.8979166666666667,0.8979166666666667
v6,2024,1400000,satisfied,11039,18.0,152.56666666666675,2746.2000000000016,1,1,0.8604166666666667,0.4979166666666667,0.8229166666666666,0.9604166666666667
v6,2024,1400000,satisfied,11040,17.0,168.22352941176462,2859.7999999999984,1,0,0.8645833333333334,0.6416666666666667,0.8291666666666667,0.8354166666666667
v6,2024,1400000,satisfied,11041,21.0,119.3333333333334,2506.0000000000014,1,1,0.8041666666666667,0.55,0.89375,0.9604166666666667
v6,2024,1400000,satisfied,11042,23.0,130.22173913043488,2995.100000000002,1,1,0.9729166666666667,0.60625,0.9833333333333333,0.9479166666666666
v6,2024,1400000,satisfied,11043,21.0,135.81428571428572,2852.1,1,1,0.9104166666666667,0.6125,0.9583333333333334,0.9791666666666666
v6,2024,1400000,satisfied,11044,21.0,118.65238095238097,2491.7000000000003,1,1,0.79375,0.48333333333333334,0.8625,0.9479166666666666
v6,2024,1400000,satisfied,11045,19.0,147.73684210526312,2806.999999999999,1,1,0.8583333333333333,0.6083333333333333,0.90625,0.9541666666666667
v6,2024,1400000,satisfied,11046,18.0,115.57222222222225,2080.3000000000006,1,1,0.5541666666666667,0.28541666666666665,0.70625,0.90625
v6,2024,1400000,satisfied,11047,21.0,121.20476190476194,2545.3000000000006,1,1,0.7666666666666667,0.4895833333333333,0.8958333333333334,0.8979166666666667
v6,2024,1400000,satisfied,11048,19.0,141.46315789473684,2687.8,1,1,0.8520833333333333,0.5729166666666666,0.925,0.9416666666666667
v6,2024,1400000,satisfied,11049,20.0,149.305,2986.1,1,1,0.9479166666666666,0.64375,0.9541666666666667,0.9583333333333334
