episode,lam_util,lam_tp,mean_util_gap,mean_tp_gap,mean_util_slack,mean_tp_slack,util_slack_ema,tp_slack_ema
1,0.0,1.8885581231830786,0.0001384616828508067,0.009019118632661395,0.4701129744478514,-0.001459173113637364,0.1410338923343554,-0.0004377519340912092
2,0.0,1.3821956311542778,0.03527408947829175,0.005186231727307897,0.2779928593189528,0.0072720363762367925,0.18212158242973459,0.001875184559007191
3,0.0,25.613453028253407,0.08529355162928433,0.023125946362418808,-0.002736583191132283,-0.023125372571007136,0.12666413274347452,-0.005624982579997107
4,0.0,52.56688817930106,0.11120277402803155,0.012867520914716936,0.02397042251435177,-0.009754761583933343,0.09585601967473768,-0.006863916281177978
5,0.0,90.1172017819838,0.01222192530634124,0.015453263275594773,0.10027276411416823,-0.014973870128867584,0.09718104300656684,-0.00929690243548486
6,0.0,134.36316150262027,0.06653718330697128,0.016090687004090273,0.0854760645082967,-0.015091861637173564,0.09366954945708579,-0.011035390195991469
7,0.0,143.1795787964009,0.0,0.0006110122261354116,0.2890500480371462,0.0168624627517344,0.1522836990311039,-0.002666034311673708
8,0.0,152.07886979374547,0.007476425549168033,0.005967120333995125,0.3116263413411796,-0.0006011280912117593,0.2000864917241266,-0.002046562445535123
9,0.0,159.72671255460705,0.007029691416007208,0.005543180342890286,0.0978694792791324,-0.0015700908519694172,0.1694213879906283,-0.0019036209674654114
10,0.0,187.5756287102454,0.06533026016434977,0.01962208158784383,0.22099920245229854,-0.017951349648393806,0.18489473232912937,-0.006717939571743929
11,0.0,210.36615883894353,0.01928392750448697,0.010653953168789376,0.280577590091465,-0.0038609583829742884,0.21359958965783005,-0.005860845215113037
12,0.0,223.34502239029655,0.000691413120854776,0.004165147723377704,0.40178091150717427,0.0025123506140633323,0.27005398621263327,-0.0033488864663601256
13,0.0,240.99454254167384,0.013534342898744894,0.007956949883781438,0.3029784602003877,-0.006525694729107341,0.27993132840895957,-0.00430192894518429
14,0.0,274.4502535081839,0.11104828398928707,0.01737694912057398,0.10734625936938196,-0.01727280151157741,0.22815580769708627,-0.008193190715102225
15,0.0,283.6921849953428,3.867622823394803e-05,0.002708133326129458,0.5180775618054148,0.010173241980340803,0.3151323339295848,-0.0026832609064693165
16,0.0,276.6374733659892,0.0,0.001897998182573361,0.517191965903023,0.011871301185668905,0.37575022352161624,0.0016831077211721499
17,0.0,281.71021624057954,0.0643744724450313,0.012640388791661333,0.3389742024968465,-0.007339540609395189,0.3647174172141853,-0.0010236867779980516
18,0.0,284.63784664701006,0.0,0.0033905503810969777,0.39723288286128283,-0.0003122286385974441,0.37447205690831453,-0.0008102493361778693
19,0.0,283.07961641858134,0.004519771155831755,0.0036265209488660173,0.39244656282288376,0.0030156009156651546,0.37986440868268534,0.00033750573937503796
20,0.0,285.4522429898736,0.0,0.004384359692871135,0.270399015744072,-0.002525886340971878,0.3470247908011013,-0.0005215118847290369
21,0.0,299.09821291663724,0.04454117279372521,0.010941317403588025,0.23459590414730028,-0.009764229464298793,0.313296124804961,-0.0032943271585999636
22,0.0,328.22927687285966,0.026151779202320136,0.0162104447239427,0.24999409643370699,-0.01617610243575049,0.2943055162935848,-0.007158859741745121
23,0.522640665837438,383.7475208632895,0.2876254165969936,0.028801128219335507,-0.2870838994748692,-0.028801128219335507,0.11988869156304861,-0.013651540285022237
24,0.0,428.59484772693196,0.0160232993509009,0.007552718252383109,0.2772264029018231,-0.006421725823023226,0.16709000496468096,-0.011482595946422532
25,0.0,465.2086941729336,0.07109800537911616,0.009190189686757822,0.2887932627129326,-0.003916380253130035,0.20360098228915643,-0.009212731238434784
26,0.0,494.8163192530228,0.015672301219069894,0.006908016659218625,0.22481246918230377,-0.0032839325523644123,0.2099644283571006,-0.007434091632613672
27,0.0,510.6825081941727,0.018177605809802527,0.0047369143061097,0.37872275446463816,0.003715147692693325,0.2605919261893619,-0.004089319835021573
28,0.0,533.0873024373416,0.011641854333902982,0.009927626661280517,0.2638636612863897,-0.008623476758294002,0.2615734467184702,-0.005449566912003301
29,0.0,554.5823913867104,0.017756178605220843,0.006244580672067017,0.15280654163528634,-0.005316905014427014,0.22894337519351504,-0.005409768342730414
30,0.0,588.0599115087678,0.0,0.016090806152882817,0.36398844211242976,-0.014802202385752892,0.2694568952691894,-0.008227498555637158
31,0.0,631.6302109268845,0.06295125053242291,0.017040283562009203,0.10355116300342082,-0.016911687616636195,0.21968517558945883,-0.01083275527393687
32,0.0,668.5833939827756,0.06342000873043671,0.00922461759090959,0.18015160296646018,-0.00597774545804299,0.20782510380255922,-0.009376252329168704
33,0.0,717.1306082396303,0.05166919784847891,0.018024311571790106,0.011292389951568192,-0.018024311571790106,0.14886528964726192,-0.011970670101955124
34,0.0,746.8652419709914,0.0015932677389720626,0.006079346429871594,0.274635569137501,0.0022266353735850885,0.18659637349433364,-0.00771147845929306
35,0.0,752.84003943014,0.0,0.0024749294016060547,0.6366263639645301,0.012365533875857693,0.3216053706353925,-0.001688374758747834
36,0.0,758.9099251328337,0.0,0.006204150228393887,0.4873221908200617,-0.0006678003918016306,0.37132041669079324,-0.0013822024486639729
37,0.0,758.4891145760165,0.0,0.004392380269115685,0.806379401394784,0.003364017854892737,0.5018381121019905,4.1663642403039994e-05
38,0.0,767.8485189656184,0.0,0.007406269157030369,0.27169755324308664,-0.0074056953656186945,0.43279594444431935,-0.0021925440600034803
39,0.0,784.145970175144,0.0,0.009543471332157924,0.3726678620003958,-0.00834388988520374,0.4147575197111422,-0.004037947807563559
40,0.0,795.4862532646702,0.03182978640349172,0.006866223614753691,0.3293177938438261,-0.0003657511679032024,0.38912560195094736,-0.0029362888156654514
41,0.0,827.1933951320626,0.04786269701480705,0.019901608732591548,0.35251031230293833,-0.018691702074031164,0.3781410150565446,-0.0076629127931751645
42,0.0,845.4035752426078,0.023973610470935235,0.003957466345535287,0.3771396691822847,0.0018361417023840597,0.3778406112942666,-0.0048131964445073975
43,0.0,851.3595082578468,0.0028005927827440542,0.00571100042962676,0.4993647507148905,0.0059660292679190475,0.41429785312045375,-0.0015794287307794642
44,0.0,854.6769330429195,0.007353904810474976,0.002903747998074953,0.16569359609428094,0.0010584021497110367,0.33971657601260186,-0.0007880794666323139
45,0.0,869.6565215261717,0.11384431714294814,0.010476061255222692,-0.0828430214353764,-0.010111996681162761,0.21294869677820838,-0.003585254630991448
46,0.0,905.713487267356,0.03151374488984414,0.02104236531529569,0.14288429372654401,-0.021042131403732973,0.19192937586270906,-0.008822317662813904
47,0.0,948.1575088871567,0.014563306753409444,0.014916331370534044,0.31321244946854987,-0.014916331370534044,0.2283142979444613,-0.010650521775129946
48,0.0,986.8504716001713,0.01704871006098322,0.008588180097888361,0.06512466943003464,-0.0076931376669763536,0.17935740939013328,-0.009763306542683868
49,0.0,1003.954324317725,0.0,0.0023115435738489173,0.4477474016698532,0.007727245025908585,0.2598744070740493,-0.004516141072106131
50,0.0,1019.9081528739347,0.0,0.0050290286932996205,0.3403429015484188,-0.002424512279032661,0.2840149554163601,-0.00388865243418409
51,0.0,1050.2089702168137,0.07318498727248506,0.015571836309213079,0.06812513672283665,-0.015542191118589161,0.21924800980830308,-0.007384714039505611
52,0.0,1085.014774863493,0.015337731953604633,0.011860391955505298,0.13814092140583198,-0.01184229709441764,0.19491588328756176,-0.00872198895597922
53,0.0,1108.2609049872524,0.005290902431129694,0.002938892219974145,0.3387345119444336,0.00041142232061621965,0.2380614718846233,-0.005981965573000587
54,0.03529176050636329,1153.0507064039484,0.21406523433556113,0.022321597943156017,-0.08713823475853665,-0.022321597943156017,0.14050155989167532,-0.010883855284047216
55,0.0,1165.1291665607703,0.0,0.002564726226854128,0.8229046781206948,0.013692947897113424,0.34522249536038113,-0.0035108143296990234
56,0.0,1199.8264803461996,0.0005148744492014332,0.019317760656046866,0.2907428881074869,-0.019317760656046866,0.32887861318451284,-0.008252898227603375
57,0.0,1222.1043701635672,0.019672795018758057,0.008349815085453263,0.3156358929460894,-0.00011044211390874475,0.3249057971129858,-0.005810161393494985
58,0.0,1241.0013504782746,0.0,0.004257455003655386,0.3572402840449229,-0.002168940010412818,0.3346061431925669,-0.004717794978570335
59,0.0,1275.0992250589536,0.06535686356408701,0.016797389604419854,0.03538089938566152,-0.016715777538018905,0.24483857005049525,-0.008317189746404906
60,0.0,1295.363126353985,0.0,0.0028799119898717347,0.49349528732637593,0.001718459629630689,0.31943558523325943,-0.005306494933594226
61,0.0,1308.7884448119048,0.0022191132661400752,0.0017554615903119573,0.2655511615534732,0.0011234501122297362,0.3032702581293235,-0.0033775114198470375
62,0.23273480206468722,1343.8590573031515,0.23385964980055357,0.020335978451977058,-0.19642510610777802,-0.020335978451977058,0.15336164885819303,-0.008465051529486043
63,0.0,1376.0215859779792,0.002704460039963113,0.00840271149482342,0.22854293785655733,-0.007521461503967997,0.1759160355577023,-0.008181974521830629
64,0.0,1412.6772716210535,0.0009436954007657737,0.011276799803565978,0.30197287431338515,-0.011276799803565978,0.21373308718440714,-0.009110422106351233
