method,seed,selected_checkpoint,selection_status,test_episodes,mean_throughput,mean_cpu,std_cpu,util_sat_rate,tp_sat_rate
v4,42,300000,fallback,50,36.78,113.30909222523417,10.495346256504606,0.0,0.0
v4,2024,300000,fallback,50,46.5,95.3826917742312,11.172551358497168,0.78,0.28
