episode,lam_util,lam_tp,util_gap,tp_gap
1,0.0010416666666666669,0.1,-0.09583333333333333,0.0
2,0.0,0.07083333333333333,-0.1166666666666667,-0.014583333333333334
3,0.0,0.029166666666666667,-0.33125000000000004,-0.020833333333333332
4,0.0,0.029166666666666667,-0.014583333333333282,0.0
5,0.0,0.0,-0.22916666666666663,-0.020833333333333332
6,0.0,0.0,-0.09791666666666665,-0.004166666666666667
7,0.0,0.0,-0.21250000000000002,-0.00625
8,0.0,0.0,-0.029166666666666674,-0.0020833333333333333
9,0.0,0.0,-0.0708333333333333,-0.014583333333333334
10,0.0,0.0,-0.18958333333333333,-0.027083333333333334
11,0.0,0.0,-0.03541666666666665,0.0
12,0.0,0.0,-0.25,-0.029166666666666667
13,0.0003749999999999998,0.0,0.03749999999999998,-0.004166666666666667
14,0.00029166666666666675,0.0,-0.008333333333333304,-0.004166666666666667
15,0.0,0.0,-0.23958333333333337,-0.008333333333333333
16,0.0001250000000000001,0.0,0.012500000000000011,-0.008333333333333333
17,0.0012916666666666664,0.0,0.11666666666666664,0.0
18,0.0020625,0.0125,0.07708333333333334,0.00625
19,0.0023125000000000003,0.029166666666666667,0.025000000000000022,0.008333333333333333
20,0.0013125000000000005,0.004166666666666666,-0.09999999999999998,-0.0125
21,0.0004375000000000003,0.0,-0.08750000000000002,-0.008333333333333333
22,0.0008541666666666671,0.0,0.041666666666666685,-0.010416666666666666
23,0.0,0.0,-0.10416666666666663,-0.014583333333333334
24,0.0,0.0,-0.2520833333333333,-0.020833333333333332
25,0.0,0.004166666666666667,-0.09791666666666665,0.0020833333333333333
26,0.0,0.0,-0.125,-0.01875
27,0.0004375000000000001,0.004166666666666667,0.04375000000000001,0.0020833333333333333
28,0.0004583333333333334,0.0,0.002083333333333326,-0.0020833333333333333
29,0.0004583333333333334,0.0,-0.0,-0.00625
30,0.0026458333333333334,0.0,0.21875,0.0
31,0.003125,0.0,0.04791666666666666,0.0
32,0.004583333333333333,0.0,0.14583333333333331,0.0
33,0.0052499999999999995,0.0,0.06666666666666665,-0.008333333333333333
34,0.005895833333333333,0.0,0.06458333333333333,-0.004166666666666667
35,0.005541666666666666,0.0,-0.03541666666666665,-0.0125
36,0.004041666666666666,0.0,-0.15000000000000002,-0.014583333333333334
37,0.004624999999999999,0.004166666666666667,0.05833333333333335,0.0020833333333333333
38,0.0045833333333333325,0.008333333333333333,-0.004166666666666652,0.0020833333333333333
39,0.006437499999999999,0.0,0.18541666666666667,-0.004166666666666667
40,0.005249999999999999,0.0,-0.11875000000000002,-0.014583333333333334
41,0.006229166666666665,0.0,0.09791666666666665,-0.010416666666666666
42,0.0051874999999999985,0.0,-0.10416666666666663,-0.00625
43,0.005374999999999999,0.0,0.01874999999999999,-0.008333333333333333
44,0.006749999999999999,0.0,0.1375,-0.0020833333333333333
