episode,lam_util,lam_tp,mean_util_gap,mean_tp_gap,mean_util_slack,mean_tp_slack
1,0.0,38.20151193756976,0.0,0.009083693318468991,0.5482711561286913,-0.009083693318468991
2,0.0,40.31219845564113,0.0,0.0019530691961307713,0.712079653784482,-0.0011513796460981122
3,0.0,51.890518076282596,0.005666527062343582,0.0030131711828642136,0.487914918958431,-0.002622705757767617
4,1.3492425848377447,65.73334443700051,0.049407958054554474,0.004503900113730045,0.134033200995441,-0.0034558333627234235
5,0.0,27.543751910375736,0.0,8.359825725601676e-05,0.6711071498192587,0.008908360260377264
6,0.0,41.58239832144559,0.0,0.0034757911018022717,0.6118048520783385,-0.002623941665877221
7,0.0,61.15181215468563,0.0003442605932221578,0.005843259071656345,0.5297510846919269,-0.005058912466438317
8,0.0,61.350314568101474,0.0,0.003051169366883647,0.6389600189784135,-0.00034613856827609893
9,0.0,68.66218252391384,0.027733967485830298,0.002472090370230172,0.43978470496984784,-0.0016451948284884217
10,0.0,83.13000609967331,0.0,0.004282894945926757,0.6583397734481148,-0.0035539924208281854
11,0.0,53.71372063077799,0.0,0.0005398552400597698,0.9138520952852808,0.006789192196546595
12,1.2363204173542481,73.98651477829986,0.0022846786132049335,0.00439240881847108,0.3582940059072156,-0.004257294582494063
13,0.0,75.90891402546364,0.0,0.0031048739544434203,0.7385373089506782,-0.0009234540098968218
14,0.0,77.76239894051226,0.0,0.0030723192484026943,0.5623139100498452,-0.00040590277613529983
15,0.0,83.4904444936476,0.0,0.0023192923197120916,0.6111140553360015,-0.0013708264249967265
16,0.0,80.18380131256178,0.03974697836373275,0.0024665336136933057,0.4040866467436583,0.0006990441740953145
17,0.0,106.3053298168864,0.04976486315429977,0.006800078045205953,0.295120853835164,-0.006136841097522937
18,0.0,156.94968189319223,0.015435991888557288,0.012513168767374348,0.4228694369264196,-0.012513168767374348
19,0.0,167.53334120389894,0.0,0.0035217364822578826,0.5381978327819436,-0.0032676013883730292
20,0.0,157.96987288278132,0.0,0.0004158115936666642,0.6558465792483357,0.002341548757462653
21,0.0,156.4650444021739,0.0,0.0018570538979648392,0.7212280059486421,0.0006033460111151226
22,2.1796902297572034,202.4002819596286,0.07486005315506745,0.01095654907684642,0.16764497999860073,-0.010949616340444378
23,0.0,185.36902571160488,0.0,0.0008797669546453522,0.6986036732238396,0.0032585801773283027
24,0.0,222.625882066389,0.009839392163743056,0.008377219206557429,0.5485510595480986,-0.008377219206557429
25,0.0,232.10543360909793,0.0,0.0036689289154847897,0.514713606485592,-0.002932994124383096
26,0.0,238.97558241856316,0.004184130630253493,0.00339600180751411,0.6759456548925138,-0.0016457916966962916
27,0.0,238.921594844794,0.0,0.003298343139185243,0.5769699067343048,-3.486917209556587e-05
28,0.0,218.36021704378567,0.0,0.0008684465394068423,0.7427078161592275,0.004932261004535544
29,0.0,236.7616561437735,0.0,0.004380419669217153,0.7000205224575845,-0.004028160447956582
30,0.0,236.72487596073952,0.0,0.0019797248879451675,0.8004134685045331,-0.0003964033456682266
31,0.0,240.9517622555062,0.0,0.0027315109332919385,0.5492629778799992,-0.0009388074413503493
32,1.327223927491947,254.95114355102953,0.06832089104124878,0.004841435090095181,0.1669090961908049,-0.00339080552222896
33,0.0,276.1415964164592,0.0,0.005518974223324527,0.7352350058872509,-0.005265193756657937
34,0.5888193039734655,285.1508801207299,0.03252173285338309,0.0033461274184347686,0.3337355725462789,-0.0024404193521536024
35,0.0,322.36416682342315,0.04386990817153648,0.008909260269684175,0.43134120131118453,-0.008909260269684175
36,0.0,303.0089353830806,0.0,0.0011549223297602478,0.7498717621734922,0.004030117927298251
37,0.9990971107838704,323.09903863466866,0.009019066151858676,0.0054799980734970034,0.300026170008359,-0.004283367106292903
38,0.0,315.3336903614266,0.0,0.0006629830134130308,0.8687270023394744,0.001446982463958178
39,0.0,309.8637925151637,0.0,0.00291343580158431,0.5991993382063614,0.001507697451447523
40,0.0,342.1361797405202,0.0675021304589617,0.00761066100864715,0.33046451147657696,-0.00761066100864715
41,0.0,315.01417058168585,0.0,0.0006598313413452583,0.6733993092929312,0.0058781050264513045
42,1.6779497430470394,317.9729744732873,0.14241461551410714,0.0018089155859831588,0.1939046803417617,-0.00010340625780984341
43,0.0,323.02424577305175,0.0021373220775370754,0.001989794420238864,0.3764787585568694,-0.0013500246856553667
44,0.0,340.1554382035721,0.0004553693345490983,0.005225128715385389,0.5722445364559926,-0.004172823621532372
45,0.0,323.87659839268025,0.0002590216611622046,0.0011746141304284359,0.4428739115213107,0.003609998855475623
46,0.0,355.56519830098284,0.04213756086268551,0.007237793640900766,0.24832031042340907,-0.007187694735596822
