method,training_seed,checkpoint_steps,selection_status,eval_seed,throughput,cost_per_unit,total_cost,util_satisfied,tp_satisfied,util_0,util_1,util_2,util_3,util_4,util_5,util_6
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11000,33.0,109.84393939393883,3624.8499999999813,0,0,0.0,0.9666666666666667,0.3958333333333333,0.40208333333333335,0.65625,0.09375,0.5020833333333333
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11001,40.0,115.42875000000026,4617.150000000011,1,0,0.7104166666666667,0.7166666666666667,0.7875,0.16458333333333333,0.86875,0.18958333333333333,0.4479166666666667
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11002,42.0,95.60476190476172,4015.399999999992,0,0,0.46458333333333335,0.9354166666666667,0.6479166666666667,0.40208333333333335,0.7875,0.12291666666666666,0.625
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11003,47.0,108.38936170212784,5094.300000000008,1,0,0.7333333333333333,0.8395833333333333,0.8020833333333334,0.2833333333333333,0.8625,0.18541666666666667,0.6166666666666667
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11004,38.0,111.39210526315722,4232.899999999974,0,0,0.15208333333333332,0.9770833333333333,0.5270833333333333,0.4125,0.7729166666666667,0.08333333333333333,0.5791666666666667
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11005,42.0,90.34523809523753,3794.4999999999764,0,0,0.11041666666666666,0.99375,0.6520833333333333,0.5166666666666667,0.5541666666666667,0.14375,0.6166666666666667
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11006,47.0,89.80531914893638,4220.8500000000095,1,0,0.5958333333333333,0.6625,0.7083333333333334,0.58125,0.8020833333333334,0.27291666666666664,0.45416666666666666
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11007,41.0,90.34999999999948,3704.3499999999785,0,0,0.12083333333333333,0.9833333333333333,0.4375,0.5458333333333333,0.75,0.14583333333333334,0.5770833333333333
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11008,44.0,91.71477272727239,4035.4499999999853,0,0,0.16458333333333333,0.9729166666666667,0.4791666666666667,0.59375,0.7604166666666666,0.11458333333333333,0.6770833333333334
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11009,32.0,127.41093749999956,4077.149999999986,0,0,0.0,0.9979166666666667,0.34791666666666665,0.6875,0.30416666666666664,0.03958333333333333,0.6604166666666667
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11010,35.0,113.63428571428543,3977.19999999999,0,0,0.010416666666666666,0.9916666666666667,0.4625,0.6666666666666666,0.3625,0.10416666666666667,0.58125
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11011,40.0,104.68374999999983,4187.349999999993,0,0,0.26666666666666666,0.98125,0.5333333333333333,0.675,0.6479166666666667,0.20208333333333334,0.46458333333333335
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11012,42.0,122.74642857142845,5155.349999999995,1,0,0.58125,0.79375,0.83125,0.41458333333333336,0.84375,0.12916666666666668,0.70625
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11013,39.0,116.58333333333267,4546.7499999999745,0,0,0.11666666666666667,0.9770833333333333,0.46875,0.46875,0.75,0.058333333333333334,0.7166666666666667
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11014,29.0,146.8620689655172,4258.999999999999,0,0,0.010416666666666666,0.9958333333333333,0.1,0.9208333333333333,0.32083333333333336,0.21666666666666667,0.17291666666666666
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11015,40.0,91.73999999999953,3669.599999999981,0,0,0.08333333333333333,0.9958333333333333,0.41875,0.6645833333333333,0.6458333333333334,0.12291666666666666,0.6229166666666667
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11016,35.0,115.7071428571426,4049.749999999991,0,0,0.03333333333333333,0.9895833333333334,0.3541666666666667,0.7395833333333334,0.44583333333333336,0.08958333333333333,0.51875
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11017,32.0,126.26718749999972,4040.549999999991,0,0,0.03958333333333333,0.9916666666666667,0.3645833333333333,0.6416666666666667,0.41458333333333336,0.13541666666666666,0.4375
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11018,45.0,106.72666666666676,4802.700000000004,1,0,0.69375,0.6416666666666667,0.8541666666666666,0.10416666666666667,0.8520833333333333,0.18958333333333333,0.5416666666666666
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11019,32.0,109.07187499999978,3490.299999999993,0,0,0.0,0.9604166666666667,0.2875,0.6541666666666667,0.4875,0.11875,0.45625
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11020,33.0,111.46818181818131,3678.449999999983,0,0,0.0,0.9895833333333334,0.43333333333333335,0.4041666666666667,0.74375,0.1,0.48541666666666666
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11021,32.0,107.59062499999956,3442.899999999986,0,0,0.03958333333333333,0.9916666666666667,0.2604166666666667,0.5541666666666667,0.60625,0.12291666666666666,0.4041666666666667
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11022,34.0,116.27794117647014,3953.449999999985,0,0,0.020833333333333332,0.9645833333333333,0.5104166666666666,0.5625,0.5291666666666667,0.23958333333333334,0.3645833333333333
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11023,42.0,112.867857142857,4740.449999999994,0,0,0.4666666666666667,0.98125,0.5645833333333333,0.38958333333333334,0.9083333333333333,0.15416666666666667,0.6291666666666667
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11024,44.0,131.51818181818177,5786.799999999997,1,0,0.6854166666666667,0.9958333333333333,0.8604166666666667,0.32708333333333334,0.9270833333333334,0.14166666666666666,0.6645833333333333
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11025,37.0,104.51756756756711,3867.1499999999833,0,0,0.3458333333333333,0.95625,0.6145833333333334,0.21666666666666667,0.7833333333333333,0.10625,0.5916666666666667
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11026,34.0,120.24264705882331,4088.2499999999923,0,0,0.014583333333333334,0.95625,0.45625,0.6416666666666667,0.4375,0.18958333333333333,0.2916666666666667
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11027,49.0,104.44489795918373,5117.800000000003,1,0,0.7041666666666667,0.7395833333333334,0.8625,0.475,0.9270833333333334,0.17916666666666667,0.6791666666666667
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11028,43.0,113.49418604651171,4880.250000000004,1,0,0.8145833333333333,0.5291666666666667,0.875,0.05416666666666667,0.9354166666666667,0.15625,0.5583333333333333
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11029,44.0,102.7977272727274,4523.100000000006,1,0,0.7041666666666667,0.5375,0.8479166666666667,0.2625,0.8125,0.22916666666666666,0.48333333333333334
UnconstrainedPPO,999,500000,best_cpu_no_constraints,11030,37.0,105.25405405405346,3894.399999999978,0,0,0.0,0.9916666666666667,0.65625,0.26666666666666666,0.81875,0.15,0.43125
