method,seed,selected_checkpoint,test_episodes,mean_throughput,mean_cpu,std_cpu,util_sat_rate,tp_sat_rate
UnconstrainedPPO,42,1600000,50,35.56,115.82153168880944,12.062402080114817,0.0,0.0
UnconstrainedPPO,7,800000,50,32.76,124.35712067274756,31.094589036805807,0.0,0.0
UnconstrainedPPO,2024,1600000,50,33.72,122.86014143587845,17.047578092765654,0.0,0.0
UnconstrainedPPO,123,1200000,50,34.48,117.9990971749718,15.097634783235556,0.0,0.0
UnconstrainedPPO,999,500000,50,37.78,110.036312004128,12.958371819971427,0.2,0.02
