episode,lam_util,lam_tp,mean_util_gap,mean_tp_gap
1,5.002769233657016,236.07647453064558,0.0001384616828508067,0.009019118632661395
2,5.708251023222851,256.82140143987715,0.03527408947829175,0.005186231727307897
3,7.414122055808537,349.32518688955236,0.08529355162928433,0.023125946362418808
4,9.638177536369168,400.7952705484201,0.11120277402803155,0.012867520914716936
5,10.400475404739387,489.5678235115166,0.03811489341851094,0.022193138240774124
6,10.400475404739387,531.7793808462018,0.0,0.01055288933367128
7,11.15205935728255,590.5574073435993,0.03757919762715816,0.01469450662434936
8,11.201248668742203,606.5301497561885,0.002459465572982611,0.003993185603147311
9,11.233542715232577,614.0123170011212,0.001614702324518681,0.0018705418112331838
10,11.356771848235482,632.056496048954,0.006161456650145229,0.004511044761958206
11,11.356771848235482,633.516484631809,0.0,0.0003649971457137493
12,11.991863274519385,688.5702099557777,0.03175457131419513,0.013763431330992166
13,12.882775616917533,744.3001180042429,0.04454561711990738,0.013932477012116308
14,13.709694099779165,810.9467817207181,0.04134592414308165,0.016661665929118812
15,13.834271681999935,830.3717444697706,0.006228879111038447,0.004856240687263126
16,13.895655576052292,891.2044955652767,0.0030691947026178696,0.015208187773876527
17,14.03476632141734,920.7474706311122,0.006955537268252391,0.007385743766458848
18,14.401613951932255,955.0333964270321,0.01834238152574571,0.008571481448979984
19,15.712708806575193,1012.8376953775797,0.06555474273214697,0.014451074737636896
20,17.67822042745481,1110.1610124456945,0.09827558104398082,0.024330829267028672
21,17.70484924614745,1126.7799585742137,0.0013314409346319135,0.004154736532129769
22,19.647826407080625,1179.3514482823657,0.09714885804665879,0.013142872427037988
23,19.647826407080625,1209.152148495815,0.0,0.0074501750533623266
24,19.647826407080625,1238.1230221797223,0.0,0.007242718420976827
25,21.820311062382743,1264.4751381703666,0.10862423276510592,0.0065880289976610685
26,23.785626844240667,1344.5372226744819,0.09826578909289618,0.020015521126028817
27,24.30713514519152,1368.8898531478753,0.02607541504754261,0.006088157618348339
28,24.30713514519152,1383.3850912944959,0.0,0.003623809536655135
29,25.925713476288692,1492.909239322282,0.08092891655485868,0.02738103700694655
30,26.714071343899143,1558.9526491619135,0.03941789338052259,0.0165108524599079
31,28.18332415284475,1625.389359893685,0.0734626404472804,0.01660917768294288
32,28.49893033426571,1672.9957751438428,0.01578030907104809,0.011901603812539468
33,28.49893033426571,1679.0915364439502,0.0,0.0015239403250268146
34,30.501014856580344,1757.0018945280162,0.10010422611573164,0.01947758952101653
35,30.503116554106875,1779.3031041159697,0.00010508487632659567,0.005575302396988371
36,30.503116554106875,1785.9285388872368,0.0,0.0016563586928167629
37,30.51921498989034,1811.5110738909511,0.0008049217891732796,0.006395633750928606
38,32.97354629748687,1962.326556117391,0.12271656537982649,0.037703870556609946
39,33.017248266166256,2012.5509266438294,0.002185098433969178,0.01255609263160959
40,33.330272144504285,2056.714051103262,0.015651193916901455,0.011040781114858162
41,36.7373290893468,2117.656502955484,0.17035284724212565,0.015235612963055483
