method,n_episodes,mean_throughput,ci95_throughput,mean_cpu,ci95_cpu,util_sat_rate,tp_sat_rate
LeastUtilised,50,19.64,0.49381713214508877,145.63153079966833,4.053642882047621,1.0,0.9
ShortestQueue,50,20.48,0.552217927995823,138.66297480046958,4.258318465555286,1.0,0.96
CostMinimising,50,9.0,0.21688706738761532,264.1380115440116,9.117454815221391,0.0,0.0
FastServerFirst,50,12.06,0.4388413836456174,230.05045901990164,8.712273012545168,1.0,0.0
