cell,n_seeds,cpu_mean,cpu_ci95,tp_mean,joint_sat_%,stoch_cpu_mean,stoch_joint_sat_%,seeds_validation_satisfied,seeds_val_sat_argmax,lam_T_saturated
cost-episode,5,162.94,75.56,31.22,0.0,78.67,94.4,5,0,0
shaped-cumrate,5,196.04,42.87,22.48,0.0,81.88,75.6,5,0,5
