episode,lam_util,lam_tp,mean_util_gap,mean_tp_gap,mean_util_slack,mean_tp_slack,util_slack_ema,tp_slack_ema
1,0.0,0.0,0.014275864976453057,0.0006553388210764293,0.4534797328576467,0.004030055852048826,0.136043919857294,0.0012090167556146477
2,0.0,1.2544616554627452,0.08171449723534077,0.0047848622176054996,0.23390047508183723,-0.003758441758216306,0.16540088642465695,-0.00028122079853463836
3,0.0,0.0,0.0035163949372420786,0.0003967677356883528,0.4505816725878325,0.005304827160748718,0.2509551222736096,0.0013945935892503685
4,0.0,1.414094819699533,0.0,0.005253854029702552,0.600936540369727,-0.0037448375968752562,0.3559495477024448,-0.00014723576658731891
5,0.0,1.8194077958860848,0.12238860953130694,0.0037947605831980752,0.3333463595441111,-0.0022909688655833125,0.3491685912549447,-0.0007903556962861169
6,0.0,0.2719524859248905,0.0,2.9692247280162533e-05,0.8407978349478972,0.0060201739987794135,0.49665736436283037,0.0012528032122335422
7,2.0258802085509733,3.52055845084935,0.16991906643466312,0.005998451554014232,-0.07405252632091014,-0.005996842043804317,0.3254443971577082,-0.0009220903645778154
8,0.0,3.867589984802457,0.017762044274080024,0.00222362051337466,0.5398741559426942,-0.0019895652766215048,0.3897733247932039,-0.0012423328381909221
9,0.0,5.6685344611075275,0.005699642717082786,0.0034826624684681606,0.3358585500859829,-0.002739692994275717,0.3735988923810376,-0.0016915408850163606
10,0.0,8.619756054871248,0.051286329438998336,0.006672130855717113,0.17727087640267652,-0.004783800743683189,0.3147004875875293,-0.0026192188426164094
11,0.0,10.523017746471377,0.06185232848209011,0.0026377574589005995,0.33659821009214536,-0.0020939726504992096,0.32126980433891406,-0.002461644984981249
12,0.0,13.06435976012627,0.08855966140452197,0.0037741391807305166,0.07510932374768102,-0.0024635410263480523,0.24742166016154413,-0.0024622137973912897
13,0.0,14.931868060330725,0.0,0.0029252940125013525,0.5645012033682361,-0.0012238365245125075,0.3425455231235517,-0.002090700615527655
14,0.0,17.360982025920396,3.867622823394803e-05,0.004505680006575892,0.5540847194843066,-0.002408735530382238,0.40600728203177816,-0.00218611108998403
15,0.0,16.1511959663681,0.0,0.0007641522223449195,0.6718175058486862,0.004789288727324595,0.48575034917685056,-9.349114479144252e-05
16,0.0,15.783568710091185,0.0,0.0003040462729149758,0.9179543764621704,0.0030469846336765864,0.6154115573624466,0.0008486515887489662
17,0.0,15.656950261246443,0.0,0.0025850842844273446,0.5239196769438085,0.00032581456138642504,0.5879639932368551,0.0006918004805402038
18,0.1419855174303688,17.97345789122696,0.059109184834992674,0.006590009502760976,0.1758498299698347,-0.005738894654095425,0.46432974425674894,-0.0012374080598504848
19,0.0,14.62615976008005,0.0,2.7130950358174622e-05,0.8892384082239309,0.006304470941820459,0.5918023434469035,0.0010251556406507983
20,0.0,21.08889639435668,0.02066200200334892,0.012217782744092512,0.29732872705319124,-0.012217782744092512,0.5034602585287898,-0.002947725874772195
21,0.0,20.224317017362193,0.03708505475496674,0.002236019460101101,0.4960407986842826,0.0008561584878427849,0.5012344205754377,-0.0018065605659877007
22,0.0,25.12751755941872,0.04875500675372065,0.007212656663616997,0.3510076642511125,-0.007069179986147244,0.4561663936781401,-0.0033853463920355637
23,0.0,25.873460689031653,0.0013040290419116614,0.0017939103944274138,0.38925015480983344,0.00046884183587839504,0.4360915220176481,-0.002229089923661376
