cell,n_seeds,cpu_mean,cpu_ci95,tp_mean,joint_sat_%,stoch_cpu_mean,stoch_joint_sat_%,seeds_validation_satisfied,seeds_val_sat_argmax,lam_T_saturated
cost-episode,5,165.66,46.86,17.32,54.4,139.95,92.4,5,2,0
shaped-cumrate,5,180.37,40.63,15.33,14.4,139.0,90.8,5,3,5
