method,n_seeds,mean_throughput,ci95_throughput,mean_cpu,ci95_cpu,mean_total_cost,ci95_total_cost,util_sat_rate,tp_sat_rate
CostMinimising,0,15.58,0.2690915085988408,253.0699699929971,7.048143041777423,3927.3489999999993,85.14190149439696,0.0,0.0
FastServerFirst,0,30.16,0.47964253356015035,157.62161720128296,3.9640367680669857,4740.201000000004,99.43162583887273,1.0,0.0
LeastUtilised,0,56.46,0.8478222455208403,80.4727095811674,1.595046054256184,4542.43400000002,109.6174551330661,1.0,0.98
ShortestQueue,0,61.42,0.9940433793351274,73.25381405245457,1.5498287592406317,4493.194000000027,99.71836216012473,1.0,1.0
UnconstrainedPPO,5,34.86,1.6900610734526738,118.21484059530705,5.034744198419688,4073.4789999999875,51.3548752656884,0.04,0.004
v4,5,38.54,4.514556970512166,112.71347985428272,9.505492067398581,4249.23299999999,168.83380794767484,0.352,0.06000000000000001
