method,n_seeds,mean_throughput,ci95_throughput,mean_cpu,ci95_cpu,mean_total_cost,ci95_total_cost,util_sat_rate,tp_sat_rate
CostMinimising,0,9.0,0.21688706738761532,264.1380115440116,9.117454815221391,2356.624,47.85684071103741,0.0,0.0
FastServerFirst,0,12.06,0.4388413836456174,230.0504590199017,8.712273012545168,2733.1019999999994,52.205759792635924,1.0,0.0
LeastUtilised,0,19.64,0.49381713214508877,145.63153079966833,4.053642882047621,2843.41,61.38551447238997,1.0,0.9
ShortestQueue,0,20.48,0.552217927995823,138.66297480046958,4.258318465555286,2817.494,56.177320856530685,1.0,0.96
UnconstrainedPPO,5,15.459999999999999,2.5824143617940165,169.5960005709758,24.371163012456417,2504.6372,100.54136413492924,0.192,0.292
v4,5,18.571999999999996,2.451946682617712,149.3005924703213,19.57690944843038,2696.6680000000006,99.04073476059915,0.752,0.74
