method,training_seed,checkpoint_steps,selection_status,eval_seed,throughput,cost_per_unit,total_cost,util_satisfied,tp_satisfied,util_0,util_1,util_2,util_3
v4,999,1300000,fallback,11000,14.0,173.20000000000007,2424.800000000001,0,0,0.0,0.9458333333333333,0.8979166666666667,0.0
v4,999,1300000,fallback,11001,13.0,198.7615384615384,2583.899999999999,0,0,0.052083333333333336,0.95625,0.9645833333333333,0.1
v4,999,1300000,fallback,11002,14.0,170.4071428571427,2385.699999999998,0,0,0.17291666666666666,0.8854166666666666,0.9270833333333334,0.35833333333333334
v4,999,1300000,fallback,11003,16.0,159.3937499999998,2550.299999999997,0,0,0.016666666666666666,0.9895833333333334,0.9729166666666667,0.041666666666666664
v4,999,1300000,fallback,11004,16.0,152.45000000000007,2439.200000000001,0,0,0.0875,0.9333333333333333,0.9125,0.23958333333333334
v4,999,1300000,fallback,11005,12.0,212.74999999999997,2552.9999999999995,0,0,0.020833333333333332,0.9875,0.9645833333333333,0.0
v4,999,1300000,fallback,11006,12.0,188.48333333333343,2261.800000000001,0,0,0.027083333333333334,0.91875,0.9729166666666667,0.0
v4,999,1300000,fallback,11007,12.0,187.2166666666666,2246.5999999999995,0,0,0.014583333333333334,0.9208333333333333,0.9854166666666667,0.0
v4,999,1300000,fallback,11008,15.0,169.7666666666667,2546.5000000000005,0,0,0.1125,0.9416666666666667,0.9270833333333334,0.30625
v4,999,1300000,fallback,11009,10.0,256.7300000000002,2567.300000000002,0,0,0.027083333333333334,0.9895833333333334,0.9666666666666667,0.0
v4,999,1300000,fallback,11010,14.0,195.9785714285716,2743.7000000000025,0,0,0.025,0.9854166666666667,0.95625,0.0
v4,999,1300000,fallback,11011,13.0,201.17692307692303,2615.2999999999993,0,0,0.027083333333333334,0.9708333333333333,0.9729166666666667,0.0
v4,999,1300000,fallback,11012,15.0,170.91333333333333,2563.7,0,0,0.17083333333333334,0.9125,0.8895833333333333,0.3645833333333333
v4,999,1300000,fallback,11013,17.0,150.5764705882353,2559.8,0,0,0.13541666666666666,0.9416666666666667,0.9354166666666667,0.3875
v4,999,1300000,fallback,11014,21.0,129.6142857142857,2721.8999999999996,0,1,0.23333333333333334,0.9729166666666667,0.98125,0.7166666666666667
v4,999,1300000,fallback,11015,13.0,204.29230769230787,2655.8000000000025,0,0,0.10625,0.9645833333333333,0.95,0.22708333333333333
v4,999,1300000,fallback,11016,15.0,165.04000000000008,2475.6000000000013,0,0,0.020833333333333332,0.9729166666666667,0.9604166666666667,0.0
v4,999,1300000,fallback,11017,11.0,226.2454545454548,2488.700000000003,0,0,0.05625,0.94375,0.9479166666666666,0.12083333333333333
v4,999,1300000,fallback,11018,11.0,231.16363636363624,2542.799999999999,0,0,0.0,0.9583333333333334,0.9375,0.0
v4,999,1300000,fallback,11019,11.0,199.0090909090908,2189.0999999999985,0,0,0.025,0.9354166666666667,0.9083333333333333,0.0
v4,999,1300000,fallback,11020,16.0,148.47500000000005,2375.600000000001,0,0,0.0,0.9729166666666667,0.9645833333333333,0.0
v4,999,1300000,fallback,11021,11.0,217.21818181818188,2389.4000000000005,0,0,0.00625,0.9791666666666666,0.9604166666666667,0.0
v4,999,1300000,fallback,11022,13.0,186.50769230769217,2424.599999999998,0,0,0.07291666666666667,0.9270833333333334,0.93125,0.09583333333333334
v4,999,1300000,fallback,11023,14.0,163.92857142857136,2294.999999999999,0,0,0.014583333333333334,0.9645833333333333,0.94375,0.0
v4,999,1300000,fallback,11024,15.0,199.49333333333325,2992.3999999999987,0,0,0.08958333333333333,0.99375,0.975,0.3729166666666667
v4,999,1300000,fallback,11025,12.0,176.04999999999998,2112.6,0,0,0.020833333333333332,0.89375,0.9208333333333333,0.0
v4,999,1300000,fallback,11026,13.0,190.62307692307695,2478.1000000000004,0,0,0.027083333333333334,0.9270833333333334,0.9729166666666667,0.0
v4,999,1300000,fallback,11027,13.0,205.30000000000013,2668.9000000000015,0,0,0.10833333333333334,0.9541666666666667,0.9291666666666667,0.2604166666666667
v4,999,1300000,fallback,11028,14.0,209.54285714285697,2933.5999999999976,0,0,0.0,0.9875,0.98125,0.0
v4,999,1300000,fallback,11029,18.0,146.1444444444445,2630.6000000000013,0,1,0.20208333333333334,0.8895833333333333,0.9104166666666667,0.44166666666666665
v4,999,1300000,fallback,11030,13.0,179.93076923076922,2339.1,0,0,0.0,0.9770833333333333,0.9729166666666667,0.0
v4,999,1300000,fallback,11031,17.0,150.76470588235293,2563.0,0,0,0.15833333333333333,0.9333333333333333,0.9333333333333333,0.4375
v4,999,1300000,fallback,11032,17.0,154.37647058823524,2624.399999999999,0,0,0.11666666666666667,0.91875,0.9375,0.46875
v4,999,1300000,fallback,11033,13.0,183.7615384615384,2388.899999999999,0,0,0.0,0.9604166666666667,0.9520833333333333,0.0
v4,999,1300000,fallback,11034,12.0,207.63333333333333,2491.6,0,0,0.0,0.9875,0.9520833333333333,0.0
v4,999,1300000,fallback,11035,12.0,217.17500000000015,2606.1000000000017,0,0,0.0125,0.9791666666666666,0.9875,0.0
v4,999,1300000,fallback,11036,16.0,160.81875000000008,2573.1000000000013,0,0,0.20208333333333334,0.9166666666666666,0.8895833333333333,0.49375
v4,999,1300000,fallback,11037,15.0,155.32666666666665,2329.8999999999996,0,0,0.14791666666666667,0.8666666666666667,0.9354166666666667,0.4708333333333333
v4,999,1300000,fallback,11038,14.0,180.7642857142858,2530.700000000001,0,0,0.0875,0.8895833333333333,0.9020833333333333,0.2125
v4,999,1300000,fallback,11039,12.0,210.00833333333335,2520.1000000000004,0,0,0.0,0.9854166666666667,0.9541666666666667,0.0
v4,999,1300000,fallback,11040,11.0,220.90000000000006,2429.9000000000005,0,0,0.029166666666666667,0.88125,0.8333333333333334,0.0
v4,999,1300000,fallback,11041,15.0,157.25333333333336,2358.8,0,0,0.0875,0.9520833333333333,0.96875,0.2
