method,seed,selected_checkpoint,selection_status,test_episodes,mean_throughput,mean_cpu,std_cpu,util_sat_rate,tp_sat_rate
v4,42,300000,satisfied,50,19.94,137.54557619168682,17.492589841334777,1.0,0.9
v4,7,100000,satisfied,50,20.1,135.28033681966775,14.919959023109888,0.78,0.98
v4,2024,1500000,satisfied,50,19.94,139.00467978856892,13.680223275866226,1.0,0.94
v4,123,1500000,satisfied,50,19.28,146.0762289370689,15.077467098321845,0.98,0.84
v4,999,1300000,fallback,50,13.6,188.59614061461417,30.152557912879704,0.0,0.04
