method,training_seed,checkpoint_steps,selection_status,eval_seed,throughput,cost_per_unit,total_cost,util_satisfied,tp_satisfied,util_0,util_1,util_2,util_3
v4,7,100000,satisfied,11000,20.0,130.06,2601.2,1,1,0.5895833333333333,0.8708333333333333,0.8833333333333333,0.8916666666666667
v4,7,100000,satisfied,11001,20.0,147.34499999999994,2946.8999999999987,1,1,0.6458333333333334,0.9041666666666667,0.9375,0.96875
v4,7,100000,satisfied,11002,18.0,146.7277777777779,2641.100000000002,1,1,0.5979166666666667,0.8125,0.85,0.6708333333333333
v4,7,100000,satisfied,11003,22.0,120.63636363636361,2653.9999999999995,1,1,0.5875,0.74375,0.95625,0.9625
v4,7,100000,satisfied,11004,19.0,144.85263157894747,2752.2000000000016,1,1,0.64375,0.86875,0.8770833333333333,0.8854166666666666
v4,7,100000,satisfied,11005,20.0,137.39000000000004,2747.800000000001,1,1,0.525,0.8520833333333333,0.9104166666666667,0.9333333333333333
v4,7,100000,satisfied,11006,20.0,120.75999999999996,2415.1999999999994,0,1,0.46458333333333335,0.7520833333333333,0.9729166666666667,0.8645833333333334
v4,7,100000,satisfied,11007,20.0,125.62000000000003,2512.4000000000005,0,1,0.44166666666666665,0.8729166666666667,0.9854166666666667,0.8083333333333333
v4,7,100000,satisfied,11008,19.0,137.37368421052633,2610.1000000000004,1,1,0.5020833333333333,0.8020833333333334,0.9041666666666667,0.9229166666666667
v4,7,100000,satisfied,11009,19.0,159.0736842105263,3022.3999999999996,1,1,0.6520833333333333,0.95625,0.9416666666666667,0.96875
v4,7,100000,satisfied,11010,19.0,142.08421052631581,2699.6000000000004,1,1,0.5395833333333333,0.8208333333333333,0.8875,0.9229166666666667
v4,7,100000,satisfied,11011,23.0,117.05652173913039,2692.299999999999,1,1,0.5958333333333333,0.9375,0.9729166666666667,0.9208333333333333
v4,7,100000,satisfied,11012,19.0,143.19473684210533,2720.700000000001,1,1,0.5104166666666666,0.8729166666666667,0.8541666666666666,0.86875
v4,7,100000,satisfied,11013,25.0,111.02399999999993,2775.599999999998,1,1,0.6520833333333333,0.8875,0.9416666666666667,0.9416666666666667
v4,7,100000,satisfied,11014,21.0,135.0904761904762,2836.9000000000005,1,1,0.5791666666666667,0.8479166666666667,0.9458333333333333,0.9125
v4,7,100000,satisfied,11015,21.0,126.50476190476188,2656.5999999999995,1,1,0.6229166666666667,0.8604166666666667,0.9229166666666667,0.94375
v4,7,100000,satisfied,11016,20.0,125.095,2501.9,0,1,0.4479166666666667,0.75,0.9395833333333333,0.9625
v4,7,100000,satisfied,11017,20.0,135.79999999999998,2715.9999999999995,1,1,0.5979166666666667,0.9125,0.9208333333333333,0.8979166666666667
v4,7,100000,satisfied,11018,18.0,164.20000000000013,2955.600000000002,1,1,0.6166666666666667,0.9354166666666667,0.8854166666666666,0.9416666666666667
v4,7,100000,satisfied,11019,18.0,123.12777777777777,2216.2999999999997,0,1,0.47291666666666665,0.6708333333333333,0.8416666666666667,0.8895833333333333
v4,7,100000,satisfied,11020,22.0,114.70000000000005,2523.400000000001,0,1,0.4875,0.9083333333333333,0.9354166666666667,0.96875
v4,7,100000,satisfied,11021,20.0,129.98,2599.6,1,1,0.5770833333333333,0.89375,0.9041666666666667,0.9645833333333333
v4,7,100000,satisfied,11022,20.0,128.76500000000001,2575.3,1,1,0.6104166666666667,0.9229166666666667,0.9604166666666667,0.8270833333333333
v4,7,100000,satisfied,11023,22.0,116.62272727272726,2565.7,1,1,0.6125,0.8625,0.91875,0.9416666666666667
v4,7,100000,satisfied,11024,18.0,181.5444444444443,3267.7999999999975,1,1,0.65625,0.9479166666666666,0.9104166666666667,0.8625
v4,7,100000,satisfied,11025,21.0,107.70952380952379,2261.8999999999996,0,1,0.42291666666666666,0.6979166666666666,0.8604166666666667,0.8583333333333333
v4,7,100000,satisfied,11026,16.0,162.28124999999997,2596.4999999999995,0,0,0.46041666666666664,0.8083333333333333,0.9729166666666667,0.7645833333333333
v4,7,100000,satisfied,11027,21.0,144.1285714285715,3026.700000000001,1,1,0.6833333333333333,0.9125,0.9083333333333333,0.9375
v4,7,100000,satisfied,11028,19.0,136.9736842105263,2602.4999999999995,0,1,0.4625,0.79375,0.9270833333333334,0.9833333333333333
v4,7,100000,satisfied,11029,19.0,148.6736842105263,2824.7999999999993,1,1,0.5833333333333334,0.8875,0.9020833333333333,0.7916666666666666
v4,7,100000,satisfied,11030,21.0,116.52380952380956,2447.000000000001,1,1,0.5083333333333333,0.7708333333333334,0.9,0.975
v4,7,100000,satisfied,11031,22.0,122.85454545454546,2702.8,1,1,0.6125,0.9270833333333334,0.9125,0.9458333333333333
v4,7,100000,satisfied,11032,20.0,124.79,2495.8,0,1,0.48541666666666666,0.8041666666666667,0.9104166666666667,0.9083333333333333
v4,7,100000,satisfied,11033,20.0,136.42000000000002,2728.4,1,1,0.625,0.90625,0.8854166666666666,0.9541666666666667
v4,7,100000,satisfied,11034,20.0,143.74500000000003,2874.9000000000005,1,1,0.5708333333333333,0.9458333333333333,0.9041666666666667,0.9583333333333334
v4,7,100000,satisfied,11035,21.0,139.80952380952374,2935.9999999999986,1,1,0.63125,0.9,0.9875,0.9229166666666667
v4,7,100000,satisfied,11036,18.0,167.69444444444466,3018.5000000000036,1,1,0.6020833333333333,0.8729166666666667,0.8479166666666667,0.7979166666666667
v4,7,100000,satisfied,11037,19.0,135.28421052631583,2570.400000000001,1,1,0.5416666666666666,0.8020833333333334,0.925,0.9416666666666667
v4,7,100000,satisfied,11038,19.0,142.22631578947372,2702.3000000000006,1,1,0.5333333333333333,0.8729166666666667,0.8625,0.86875
v4,7,100000,satisfied,11039,21.0,127.6285714285715,2680.2000000000016,1,1,0.58125,0.88125,0.8979166666666667,0.9604166666666667
v4,7,100000,satisfied,11040,19.0,147.1473684210528,2795.800000000003,1,1,0.6020833333333333,0.8229166666666666,0.80625,0.8354166666666667
v4,7,100000,satisfied,11041,22.0,128.62727272727278,2829.800000000001,1,1,0.65625,0.88125,0.9270833333333334,0.9604166666666667
v4,7,100000,satisfied,11042,22.0,132.86363636363643,2923.0000000000014,1,1,0.6645833333333333,0.975,0.9833333333333333,0.9333333333333333
v4,7,100000,satisfied,11043,22.0,123.45000000000003,2715.9000000000005,1,1,0.5395833333333333,0.9583333333333334,0.95625,0.9791666666666666
