method,training_seed,checkpoint_steps,selection_status,eval_seed,throughput,cost_per_unit,total_cost,util_satisfied,tp_satisfied,util_0,util_1,util_2,util_3,util_4,util_5,util_6
v4,2024,300000,fallback,11000,43.0,101.46744186046485,4363.0999999999885,0,0,0.7354166666666667,0.32708333333333334,0.4875,0.5541666666666667,0.7291666666666666,0.14583333333333334,0.6020833333333333
v4,2024,300000,fallback,11001,51.0,93.22156862745103,4754.300000000003,1,1,0.7729166666666667,0.48541666666666666,0.7145833333333333,0.7208333333333333,0.9291666666666667,0.15833333333333333,0.68125
v4,2024,300000,fallback,11002,42.0,102.5119047619047,4305.499999999997,1,0,0.91875,0.12916666666666668,0.6979166666666666,0.8416666666666667,0.1875,0.20833333333333334,0.46458333333333335
v4,2024,300000,fallback,11003,49.0,91.39489795918345,4478.349999999989,1,0,0.8166666666666667,0.3104166666666667,0.7479166666666667,0.7125,0.6875,0.13541666666666666,0.6916666666666667
v4,2024,300000,fallback,11004,48.0,85.54583333333353,4106.20000000001,1,0,0.9354166666666667,0.2125,0.7479166666666667,0.8979166666666667,0.3625,0.21458333333333332,0.5583333333333333
v4,2024,300000,fallback,11005,52.0,80.08942307692283,4164.649999999987,1,1,0.99375,0.17291666666666666,0.7208333333333333,0.93125,0.3333333333333333,0.2375,0.6583333333333333
v4,2024,300000,fallback,11006,44.0,101.76818181818163,4477.799999999992,1,0,0.9625,0.05,0.7791666666666667,0.8,0.19166666666666668,0.16875,0.5166666666666667
v4,2024,300000,fallback,11007,31.0,119.32258064516054,3698.999999999977,0,0,0.31666666666666665,0.9479166666666666,0.4395833333333333,0.2125,0.9583333333333334,0.03333333333333333,0.6166666666666667
v4,2024,300000,fallback,11008,55.0,73.3918181818182,4036.550000000001,1,1,0.7520833333333333,0.5083333333333333,0.70625,0.79375,0.75625,0.2,0.7395833333333334
v4,2024,300000,fallback,11009,43.0,99.9674418604648,4298.599999999987,0,0,0.48333333333333334,0.9458333333333333,0.6333333333333333,0.45416666666666666,0.8875,0.1,0.6541666666666667
v4,2024,300000,fallback,11010,48.0,81.89062499999987,3930.7499999999936,1,0,0.74375,0.45208333333333334,0.5020833333333333,0.8291666666666667,0.6416666666666667,0.18541666666666667,0.6291666666666667
v4,2024,300000,fallback,11011,39.0,110.48333333333302,4308.849999999988,0,0,0.4166666666666667,0.98125,0.6208333333333333,0.225,0.9604166666666667,0.058333333333333334,0.6958333333333333
v4,2024,300000,fallback,11012,45.0,106.39777777777779,4787.900000000001,1,0,0.9583333333333334,0.17291666666666666,0.6895833333333333,0.8729166666666667,0.22916666666666666,0.19791666666666666,0.575
v4,2024,300000,fallback,11013,50.0,90.12200000000018,4506.1000000000095,1,1,0.8645833333333334,0.49583333333333335,0.7520833333333333,0.90625,0.5041666666666667,0.20416666666666666,0.6270833333333333
v4,2024,300000,fallback,11014,53.0,93.54433962264146,4957.849999999998,1,1,0.78125,0.875,0.725,0.7416666666666667,0.8291666666666667,0.1875,0.7708333333333334
v4,2024,300000,fallback,11015,51.0,78.86764705882385,4022.2500000000164,1,1,0.7458333333333333,0.49583333333333335,0.7541666666666667,0.9,0.5458333333333333,0.18958333333333333,0.6520833333333333
v4,2024,300000,fallback,11016,47.0,103.88085106382995,4882.400000000008,1,0,0.9895833333333334,0.12083333333333333,0.6770833333333334,0.94375,0.225,0.21041666666666667,0.5229166666666667
v4,2024,300000,fallback,11017,45.0,96.35444444444444,4335.95,1,0,0.9916666666666667,0.07708333333333334,0.725,0.93125,0.12083333333333333,0.22291666666666668,0.4708333333333333
v4,2024,300000,fallback,11018,40.0,113.23124999999978,4529.249999999991,0,0,0.425,0.9604166666666667,0.56875,0.3770833333333333,0.9270833333333334,0.08125,0.6541666666666667
v4,2024,300000,fallback,11019,48.0,103.87604166666681,4986.050000000007,1,0,0.8729166666666667,0.5041666666666667,0.7416666666666667,0.7645833333333333,0.58125,0.17083333333333334,0.6708333333333333
v4,2024,300000,fallback,11020,55.0,82.55272727272735,4540.400000000004,1,1,0.8895833333333333,0.41458333333333336,0.8166666666666667,0.7958333333333333,0.8729166666666667,0.19375,0.8333333333333334
v4,2024,300000,fallback,11021,41.0,100.0451219512195,4101.849999999999,1,0,0.9,0.17083333333333334,0.5208333333333334,0.79375,0.2791666666666667,0.21041666666666667,0.4666666666666667
v4,2024,300000,fallback,11022,49.0,88.05204081632668,4314.5500000000075,1,0,0.9291666666666667,0.3229166666666667,0.8020833333333334,0.7458333333333333,0.6708333333333333,0.19791666666666666,0.7375
v4,2024,300000,fallback,11023,48.0,104.11354166666649,4997.449999999992,1,0,0.6583333333333333,0.95625,0.7479166666666667,0.55,0.8520833333333333,0.10833333333333334,0.7958333333333333
