method,training_seed,checkpoint_steps,selection_status,eval_seed,throughput,cost_per_unit,total_cost,util_satisfied,tp_satisfied,util_0,util_1,util_2,util_3,util_4,util_5,util_6
v4,7,700000,fallback,11000,42.0,117.49880952380924,4934.949999999988,1,0,0.9354166666666667,0.20208333333333334,0.5583333333333333,0.6333333333333333,0.8625,0.14166666666666666,0.63125
v4,7,700000,fallback,11001,31.0,171.3112903225801,5310.649999999983,0,0,0.9833333333333333,0.10625,0.2604166666666667,0.40625,0.8979166666666667,0.075,0.4979166666666667
v4,7,700000,fallback,11002,32.0,135.5499999999995,4337.599999999984,0,0,0.91875,0.09166666666666666,0.3125,0.44583333333333336,0.8770833333333333,0.09791666666666667,0.5416666666666666
v4,7,700000,fallback,11003,48.0,98.85416666666669,4745.000000000001,0,0,0.9770833333333333,0.2916666666666667,0.41041666666666665,0.7583333333333333,0.9666666666666667,0.19375,0.6479166666666667
v4,7,700000,fallback,11004,37.0,123.62162162162123,4573.999999999985,0,0,0.9708333333333333,0.2875,0.4583333333333333,0.45416666666666666,0.8645833333333334,0.11041666666666666,0.5291666666666667
v4,7,700000,fallback,11005,42.0,97.54642857142835,4096.949999999991,0,0,0.95,0.2,0.45416666666666666,0.46875,0.9041666666666667,0.12708333333333333,0.625
v4,7,700000,fallback,11006,32.0,128.7843749999994,4121.09999999998,0,0,0.95625,0.11875,0.33541666666666664,0.26458333333333334,0.91875,0.07916666666666666,0.5208333333333334
v4,7,700000,fallback,11007,45.0,87.15222222222208,3921.8499999999935,0,0,0.8604166666666667,0.28541666666666665,0.46041666666666664,0.675,0.93125,0.18125,0.575
v4,7,700000,fallback,11008,40.0,105.16124999999963,4206.449999999985,0,0,0.9104166666666667,0.20833333333333334,0.4,0.5395833333333333,0.9333333333333333,0.13125,0.5791666666666667
v4,7,700000,fallback,11009,40.0,115.11499999999978,4604.599999999991,0,0,0.9729166666666667,0.33541666666666664,0.43125,0.5833333333333334,0.9291666666666667,0.15416666666666667,0.6166666666666667
v4,7,700000,fallback,11010,40.0,106.6862499999999,4267.449999999996,0,0,0.96875,0.2791666666666667,0.4625,0.5229166666666667,0.8458333333333333,0.12916666666666668,0.5958333333333333
v4,7,700000,fallback,11011,50.0,93.27099999999993,4663.5499999999965,1,1,0.9729166666666667,0.4354166666666667,0.6020833333333333,0.6833333333333333,0.9520833333333333,0.15625,0.68125
v4,7,700000,fallback,11012,39.0,100.94615384615352,3936.8999999999874,0,0,0.9208333333333333,0.17708333333333334,0.45625,0.6041666666666666,0.8666666666666667,0.125,0.575
v4,7,700000,fallback,11013,40.0,115.79125000000003,4631.6500000000015,0,0,0.975,0.28125,0.41041666666666665,0.5895833333333333,0.9291666666666667,0.16875,0.45416666666666666
v4,7,700000,fallback,11014,42.0,112.26666666666654,4715.199999999994,1,0,0.9708333333333333,0.29791666666666666,0.68125,0.41041666666666665,0.8770833333333333,0.06458333333333334,0.7104166666666667
v4,7,700000,fallback,11015,36.0,124.02916666666624,4465.049999999985,0,0,0.9875,0.17291666666666666,0.3333333333333333,0.3729166666666667,0.94375,0.08125,0.5875
v4,7,700000,fallback,11016,42.0,99.64047619047618,4184.9,1,0,0.9583333333333334,0.2916666666666667,0.5104166666666666,0.5395833333333333,0.9,0.1375,0.6145833333333334
v4,7,700000,fallback,11017,40.0,103.67374999999984,4146.949999999993,0,0,0.9604166666666667,0.2125,0.4625,0.5729166666666666,0.9270833333333334,0.14166666666666666,0.5604166666666667
v4,7,700000,fallback,11018,40.0,112.35499999999979,4494.199999999992,0,0,0.9604166666666667,0.17708333333333334,0.35625,0.6770833333333334,0.7604166666666666,0.13541666666666666,0.5895833333333333
v4,7,700000,fallback,11019,33.0,102.63333333333298,3386.8999999999883,0,0,0.7979166666666667,0.24791666666666667,0.35208333333333336,0.5354166666666667,0.9166666666666666,0.11666666666666667,0.4354166666666667
v4,7,700000,fallback,11020,40.0,113.24999999999984,4529.999999999994,1,0,0.96875,0.15625,0.5458333333333333,0.4979166666666667,0.8875,0.11041666666666666,0.65
v4,7,700000,fallback,11021,46.0,79.08804347826064,3638.0499999999897,0,0,0.8770833333333333,0.23333333333333334,0.375,0.71875,0.9458333333333333,0.19583333333333333,0.6104166666666667
v4,7,700000,fallback,11022,37.0,115.21486486486474,4262.949999999995,0,0,0.9645833333333333,0.18541666666666667,0.4,0.53125,0.9229166666666667,0.12083333333333333,0.5479166666666667
v4,7,700000,fallback,11023,28.0,178.45714285714197,4996.799999999976,0,0,0.9666666666666667,0.10416666666666667,0.3541666666666667,0.175,0.8395833333333333,0.03333333333333333,0.5145833333333333
v4,7,700000,fallback,11024,49.0,113.6806122448983,5570.350000000017,1,0,0.9875,0.45208333333333334,0.5854166666666667,0.7708333333333334,0.8145833333333333,0.20416666666666666,0.59375
v4,7,700000,fallback,11025,39.0,97.86923076923043,3816.899999999987,0,0,0.9,0.18541666666666667,0.26458333333333334,0.6,0.8979166666666667,0.15416666666666667,0.5583333333333333
v4,7,700000,fallback,11026,32.0,145.25468749999956,4648.149999999986,0,0,0.9458333333333333,0.18125,0.3645833333333333,0.28958333333333336,0.9354166666666667,0.075,0.5166666666666667
v4,7,700000,fallback,11027,45.0,112.68111111111118,5070.650000000003,1,0,0.9625,0.2916666666666667,0.5125,0.7125,0.9145833333333333,0.1625,0.6979166666666666
v4,7,700000,fallback,11028,44.0,88.55113636363622,3896.2499999999936,0,0,0.9145833333333333,0.25833333333333336,0.46875,0.64375,0.9020833333333333,0.15208333333333332,0.55625
v4,7,700000,fallback,11029,45.0,113.00555555555553,5085.249999999999,0,0,0.9520833333333333,0.4041666666666667,0.46041666666666664,0.7229166666666667,0.7479166666666667,0.1875,0.5708333333333333
v4,7,700000,fallback,11030,47.0,91.90319148936165,4319.449999999997,0,0,0.975,0.26458333333333334,0.48333333333333334,0.8,0.9,0.17083333333333334,0.6041666666666666
v4,7,700000,fallback,11031,32.0,135.6124999999995,4339.599999999984,0,0,0.9416666666666667,0.16041666666666668,0.3645833333333333,0.34791666666666665,0.8916666666666667,0.07916666666666666,0.53125
v4,7,700000,fallback,11032,43.0,103.85465116279046,4465.74999999999,1,0,0.975,0.2604166666666667,0.58125,0.49375,0.8583333333333333,0.08125,0.60625
v4,7,700000,fallback,11033,44.0,107.89886363636337,4747.549999999988,0,0,0.9666666666666667,0.28541666666666665,0.39375,0.75,0.8291666666666667,0.14583333333333334,0.65625
v4,7,700000,fallback,11034,35.0,115.72571428571385,4050.3999999999846,0,0,0.93125,0.13541666666666666,0.32916666666666666,0.4479166666666667,0.9625,0.10208333333333333,0.5854166666666667
v4,7,700000,fallback,11035,42.0,95.83333333333333,4024.9999999999995,0,0,0.84375,0.26458333333333334,0.48541666666666666,0.6208333333333333,0.9541666666666667,0.1625,0.5604166666666667
v4,7,700000,fallback,11036,37.0,121.16621621621636,4483.150000000005,0,0,0.9,0.38125,0.4791666666666667,0.5333333333333333,0.7770833333333333,0.12916666666666668,0.4791666666666667
v4,7,700000,fallback,11037,36.0,107.36527777777732,3865.1499999999837,0,0,0.8375,0.20625,0.3541666666666667,0.40208333333333335,0.9375,0.11041666666666666,0.5
v4,7,700000,fallback,11038,39.0,100.98076923076898,3938.2499999999905,0,0,0.9270833333333334,0.3145833333333333,0.4895833333333333,0.44583333333333336,0.8708333333333333,0.11666666666666667,0.5770833333333333
v4,7,700000,fallback,11039,31.0,138.3499999999993,4288.8499999999785,0,0,0.9145833333333333,0.14583333333333334,0.3375,0.24375,0.9479166666666666,0.07916666666666666,0.5833333333333334
v4,7,700000,fallback,11040,33.0,122.70757575757511,4049.3499999999785,0,0,0.8645833333333334,0.29583333333333334,0.35,0.3375,0.89375,0.08958333333333333,0.58125
v4,7,700000,fallback,11041,43.0,103.69534883720907,4458.89999999999,1,0,0.9916666666666667,0.25,0.5520833333333334,0.5791666666666667,0.9125,0.10625,0.6416666666666667
v4,7,700000,fallback,11042,44.0,102.96249999999996,4530.3499999999985,1,0,0.95625,0.30833333333333335,0.69375,0.5208333333333334,0.9625,0.14583333333333334,0.6520833333333333
v4,7,700000,fallback,11043,36.0,119.63472222222202,4306.849999999993,0,0,0.9625,0.14375,0.425,0.2833333333333333,0.95,0.07916666666666666,0.6145833333333334
v4,7,700000,fallback,11044,48.0,94.3875,4530.6,1,0,0.9458333333333333,0.4395833333333333,0.5625,0.7854166666666667,0.9270833333333334,0.16041666666666668,0.60625
v4,7,700000,fallback,11045,44.0,99.80795454545445,4391.549999999996,1,0,0.9479166666666666,0.21666666666666667,0.5520833333333334,0.49583333333333335,0.9645833333333333,0.14166666666666666,0.6333333333333333
v4,7,700000,fallback,11046,44.0,90.40227272727248,3977.699999999989,0,0,0.9,0.3020833333333333,0.36041666666666666,0.6333333333333333,0.9375,0.16041666666666668,0.6041666666666666
v4,7,700000,fallback,11047,37.0,114.14189189189152,4223.249999999986,0,0,0.9520833333333333,0.24791666666666667,0.44166666666666665,0.39166666666666666,0.84375,0.10625,0.5958333333333333
v4,7,700000,fallback,11048,35.0,125.44571428571388,4390.599999999986,0,0,0.9270833333333334,0.19375,0.3770833333333333,0.48333333333333334,0.9041666666666667,0.0875,0.5666666666666667
v4,7,700000,fallback,11049,45.0,103.36666666666665,4651.499999999999,0,0,0.9833333333333333,0.29791666666666666,0.49375,0.6458333333333334,0.9479166666666666,0.14583333333333334,0.6520833333333333
