episode,lam_util,lam_tp,util_gap,tp_gap
1,0.0,0.05,-0.2875,-0.025
2,0.0,0.037500000000000006,-0.06666666666666665,-0.00625
3,0.0,6.938893903907228e-18,-0.24375000000000002,-0.01875
4,0.0,0.0,-0.11458333333333337,-0.0020833333333333333
5,0.0,0.0,-0.050000000000000044,-0.004166666666666667
6,0.0,0.0,-0.13958333333333328,-0.016666666666666666
7,6.249999999999978e-05,0.0,0.006249999999999978,0.0
8,0.0,0.0,-0.08125000000000004,-0.00625
9,0.0,0.0,-0.23541666666666672,-0.027083333333333334
10,0.0,0.008333333333333333,-0.15625,0.004166666666666667
11,0.0,0.0,-0.14166666666666672,-0.010416666666666666
12,0.0,0.0,-0.27083333333333337,-0.010416666666666666
13,0.0,0.0,-0.20416666666666672,-0.0125
14,0.00035416666666666653,0.0,0.03541666666666665,-0.00625
15,0.0007500000000000001,0.0,0.03958333333333336,-0.0020833333333333333
16,0.0,0.0,-0.28125,-0.01875
17,0.0,0.008333333333333333,-0.0708333333333333,0.004166666666666667
18,2.0833333333333258e-05,0.0,0.002083333333333326,-0.008333333333333333
19,0.0,0.0,-0.03749999999999998,-0.0020833333333333333
20,0.0,0.0,-0.0708333333333333,0.0
21,0.0,0.0,-0.018750000000000044,-0.004166666666666667
22,0.0,0.0,-0.34791666666666665,-0.020833333333333332
23,0.0,0.0,-0.07499999999999996,-0.0020833333333333333
24,0.0004375000000000001,0.0,0.04375000000000001,-0.0020833333333333333
25,0.0006458333333333333,0.0,0.020833333333333315,-0.00625
26,0.0,0.0,-0.10624999999999996,-0.010416666666666666
27,0.0,0.0,-0.20625000000000004,-0.020833333333333332
28,0.0,0.0,-0.06458333333333333,-0.0020833333333333333
29,0.0,0.0,-0.1166666666666667,-0.020833333333333332
30,0.0,0.0,-0.2416666666666667,-0.020833333333333332
31,0.0,0.0,-0.11041666666666672,-0.004166666666666667
32,0.0,0.0,-0.11041666666666672,-0.014583333333333334
33,0.0,0.0,-0.05833333333333335,-0.014583333333333334
34,0.0,0.020833333333333332,-0.029166666666666674,0.010416666666666666
35,0.0018541666666666667,0.03333333333333333,0.18541666666666667,0.00625
36,0.0003958333333333329,0.0,-0.14583333333333337,-0.016666666666666666
37,0.0,0.0,-0.2666666666666667,-0.022916666666666665
38,0.0,0.0,-0.027083333333333348,-0.004166666666666667
39,0.0018958333333333334,0.03333333333333333,0.18958333333333333,0.016666666666666666
40,0.0018958333333333334,0.020833333333333332,-0.0,-0.00625
41,0.0006874999999999997,0.0,-0.12083333333333335,-0.014583333333333334
42,0.0014791666666666664,0.0,0.07916666666666666,0.0
43,0.001770833333333333,0.0,0.029166666666666674,-0.00625
44,0.0016041666666666659,0.0,-0.01666666666666672,0.0
45,0.0006458333333333326,0.0,-0.09583333333333333,-0.00625
46,0.0010624999999999994,0.008333333333333333,0.041666666666666685,0.004166666666666667
47,0.0029166666666666655,0.04583333333333333,0.18541666666666662,0.01875
48,0.0015624999999999992,0.033333333333333326,-0.13541666666666663,-0.00625
49,0.0,0.004166666666666659,-0.2520833333333333,-0.014583333333333334
50,0.0,0.0,-0.03749999999999998,-0.008333333333333333
51,0.0,0.0,-0.10833333333333328,-0.008333333333333333
52,0.0005833333333333335,0.0125,0.05833333333333335,0.00625
53,0.0007291666666666668,0.016666666666666666,0.014583333333333337,0.0020833333333333333
54,0.0018333333333333335,0.025,0.11041666666666666,0.004166666666666667
55,0.0008541666666666669,0.008333333333333335,-0.09791666666666665,-0.008333333333333333
56,0.0,0.008333333333333335,-0.16666666666666663,0.0
57,0.0,0.0,-0.08333333333333337,-0.00625
58,0.0,0.0,-0.08333333333333337,-0.0125
59,0.0002708333333333335,0.0,0.027083333333333348,-0.004166666666666667
60,0.0,0.0,-0.10624999999999996,-0.0125
61,0.0005833333333333335,0.0,0.05833333333333335,-0.0020833333333333333
62,0.0008124999999999999,0.0,0.02291666666666664,-0.00625
63,8.333333333333359e-05,0.0,-0.07291666666666663,-0.004166666666666667
64,0.0,0.0,-0.16249999999999998,-0.010416666666666666
65,0.00033333333333333327,0.0,0.033333333333333326,-0.010416666666666666
66,0.0032500000000000003,0.0375,0.2916666666666667,0.01875
67,0.0026875,0.0375,-0.05625000000000002,0.0
68,0.0019583333333333336,0.004166666666666666,-0.07291666666666663,-0.016666666666666666
69,0.0022708333333333335,0.008333333333333331,0.03125,0.0020833333333333333
70,0.0014374999999999998,0.0,-0.08333333333333337,-0.008333333333333333
71,0.0014374999999999998,0.0,-0.0,-0.016666666666666666
72,0.002604166666666666,0.0,0.11666666666666664,-0.004166666666666667
73,0.0039166666666666655,0.0,0.13124999999999998,-0.004166666666666667
74,0.005437499999999999,0.0125,0.15208333333333335,0.00625
75,0.006229166666666666,0.016666666666666666,0.07916666666666666,0.0020833333333333333
76,0.006749999999999999,0.0,0.052083333333333315,-0.0125
77,0.0071249999999999985,0.0,0.03749999999999998,-0.00625
78,0.006812499999999998,0.0,-0.03125,-0.008333333333333333
79,0.007708333333333332,0.0,0.08958333333333335,-0.0020833333333333333
80,0.008833333333333332,0.0,0.11249999999999999,-0.0020833333333333333
81,0.010958333333333332,0.008333333333333333,0.21250000000000002,0.004166666666666667
82,0.010979166666666665,0.008333333333333333,0.002083333333333326,0.0
83,0.010854166666666665,0.0125,-0.012499999999999956,0.0020833333333333333
84,0.009437499999999998,0.0,-0.14166666666666672,-0.014583333333333334
85,0.008187499999999999,0.0,-0.125,-0.016666666666666666
86,0.006437499999999998,0.0,-0.17500000000000004,-0.014583333333333334
87,0.007479166666666665,0.004166666666666667,0.10416666666666669,0.0020833333333333333
88,0.007499999999999999,0.0,0.002083333333333326,-0.004166666666666667
89,0.008354166666666666,0.0,0.08541666666666664,-0.00625
90,0.006416666666666666,0.0,-0.19374999999999998,-0.022916666666666665
91,0.006062499999999999,0.0,-0.03541666666666665,-0.014583333333333334
92,0.006687499999999999,0.0,0.0625,-0.0020833333333333333
93,0.006499999999999999,0.025,-0.018750000000000044,0.0125
94,0.0038958333333333323,0.0,-0.26041666666666663,-0.03125
95,0.002520833333333333,0.0,-0.13749999999999996,-0.0125
96,0.002354166666666666,0.0,-0.01666666666666672,-0.00625
97,0.002354166666666666,0.0,-0.0,-0.008333333333333333
98,0.0008541666666666656,0.0,-0.15000000000000002,-0.004166666666666667
99,0.0,0.0,-0.21250000000000002,-0.014583333333333334
100,0.0,0.0,-0.09583333333333333,-0.0020833333333333333
