episode,lam_util,lam_tp,mean_util_gap,mean_tp_gap
1,5.0020445550259645,225.69473624038446,0.00010222775129824104,0.006423684060096115
2,5.002818079590644,236.87633170262077,3.867622823394803e-05,0.0027953988655590807
3,5.738642100942268,296.61988601094436,0.03679120106758123,0.014935888577080897
4,8.177591015956839,377.96961628496854,0.12194744575072848,0.02033743256850604
5,9.930178207587407,463.25914147667027,0.08762935958152834,0.021322381297925436
6,9.949669712732945,474.2618823872446,0.0009745752572769129,0.002750685227643582
7,10.665797530457677,515.5423954946496,0.035806390886236626,0.01032012827685124
8,10.665797530457677,530.2435847800538,0.0,0.003675297321351063
9,10.852078562085325,543.3784701279441,0.009314051581382394,0.0032837213369725825
10,11.07100192619534,564.7713113780849,0.01094616820550074,0.005348210312535214
11,12.237303892930306,644.0152912574233,0.05831509833674829,0.019810994969834607
12,12.237303892930306,657.6337096547767,0.0,0.003404604599338336
13,12.261773461221665,706.5697623382671,0.0012234784145679293,0.01223401317087259
14,14.535027536298875,785.4279797078392,0.11366270375386048,0.019714554342393022
15,18.196628165622936,913.2578483099628,0.18308003146620308,0.0319574671505309
16,18.196628165622936,922.2517715128301,0.0,0.0022484808007168264
17,18.196628165622936,938.6540972388101,0.0,0.004100581431494996
18,18.720645744012256,957.2557994998776,0.02620087891946602,0.004650425565266875
19,19.42422198802243,1012.9729881227826,0.03517881220050878,0.013929297155726232
20,21.097152479891495,1111.6847390438675,0.08364652459345316,0.024677937730271226
21,21.287581785602033,1132.668327619844,0.00952146528552689,0.0052458971439941025
22,21.287581785602033,1141.678012996225,0.0,0.002252421344095301
23,22.251133214628542,1217.0568526234977,0.048177571451325486,0.01884470990681815
24,22.301825082048396,1255.4026310106735,0.002534593370992684,0.009586444596793984
25,22.301825082048396,1264.9471812360846,0.0,0.0023861375563527464
26,22.73608136395811,1289.934173071934,0.021712814095485766,0.006246747958962376
27,23.126119808411698,1315.397769903484,0.019501922222679307,0.006365899207887454
28,23.68016495324551,1379.0226333132696,0.02770225724169059,0.015906215852446406
29,26.67083277517409,1436.1890872088466,0.1495333910964291,0.014291613473894267
30,27.89388100511479,1527.0285593200322,0.061152411497034875,0.022709868027796388
31,27.96030447864609,1567.4182448965034,0.003321173676565027,0.01009742139411779
32,28.325763836530346,1604.3886970921906,0.01827296789421283,0.00924261304892181
33,28.674717805096456,1642.5925130663313,0.017447698428305538,0.009550953993535194
34,28.674717805096456,1663.5848640004901,0.0,0.005248087733539681
35,29.82356981930986,1714.0225520080119,0.05744260071067023,0.012609422001880444
36,30.764719453806475,1776.6977753715857,0.04705748172483065,0.015668805840893446
