method,n_episodes,mean_throughput,ci95_throughput,mean_cpu,ci95_cpu,util_sat_rate,tp_sat_rate
LeastUtilised,50,56.46,0.8478222455208403,80.4727095811674,1.595046054256184,1.0,0.98
ShortestQueue,50,61.42,0.9940433793351274,73.25381405245457,1.549828759240631,1.0,1.0
CostMinimising,50,15.58,0.2690915085988408,253.0699699929971,7.048143041777424,0.0,0.0
FastServerFirst,50,30.16,0.47964253356015035,157.62161720128296,3.964036768066986,1.0,0.0
