episode,lam_util,lam_tp,mean_util_gap,mean_tp_gap,mean_util_slack,mean_tp_slack
1,0.0,14.733909309550386,0.0,0.009083693318468991,0.5482711561286913,-0.009083693318468991
2,0.0,6.584054092991475,0.0,0.0019530691961307713,0.712079653784482,-0.0011513796460981122
3,1.7249691810669656,14.055712353946236,0.005666527062343582,0.0030131711828642136,0.487914918958431,-0.002622705757767617
4,6.067136344328185,17.27575922380839,0.049407958054554474,0.004503900113730045,0.134033200995441,-0.0034558333627234235
5,0.0,0.532318987092812,0.0,8.359825725601676e-05,0.6711071498192587,0.008908360260377264
6,0.0,16.257738620273066,0.0,0.0034757911018022717,0.6118048520783385,-0.002623941665877221
7,0.0,5.446449005705059,0.0,4.552733653385054e-05,0.5478317431041171,0.005784622753190724
8,0.0,10.094525827232623,7.2090776706028315e-06,0.0013996797217845944,0.6417909859927874,0.0018918618999505268
9,0.25533060273745267,5.156307195482749,0.006228879111038447,0.0006317531994770522,0.45599011491042907,0.0025793470906875565
10,0.0,4.216245134082334,0.004209998497189186,0.0022700431428960186,0.6088388629534983,0.0017696330694884144
11,1.3797636454688673,12.764186428792097,0.0020346203872685055,0.005357796235895224,0.3910489109533077,-0.004931886539760178
12,0.0,14.017342278871599,0.0,0.004739663315069869,0.6229052392482743,-0.0047269047365999396
13,0.0,5.306210993489421,0.027545148328626586,0.0002768104211308781,0.46144201298635007,0.009962465575003888
14,0.0,21.078145737457305,0.009286257368019428,0.004757550770062351,0.4289350327204354,-0.001531106401977274
15,0.0,18.621572913374735,0.0,0.0037280519262314874,0.6893455651930522,-0.0026305481284964846
16,2.4868458856990276,26.547372144032543,0.029386107148086153,0.006960359493786162,0.3610586469816548,-0.006283655606884563
17,0.0,16.817600901883647,0.0,0.0007853714153036734,0.6937609987173522,0.0025831400867650733
18,0.0,13.231485736485187,0.0,0.00033240681198689665,0.7483594516986173,0.005980873165176452
19,1.65521173526143,10.814857629224576,0.0,0.0009471831420813044,0.4379580240842123,0.004815011590982606
20,0.0,23.417621963371793,0.009858463925744939,0.006444463309845149,0.3213197895290745,-0.00643543010415911
21,0.0,15.371204366475173,0.0,0.0016786723995806355,0.6208976376944293,-0.0009000383207310652
22,0.0,34.016576326247964,0.015082455097049948,0.010261061912810877,0.4992525028938752,-0.010261061912810877
23,0.0,48.76319444422949,0.0,0.01598985441356748,0.5826847728070206,-0.01598985441356748
24,0.0,36.176375828250656,0.003618655286169327,0.0024251528796340543,0.5163161478719787,8.031857341253637e-05
25,0.0,45.35833117939454,0.0,0.0014326881894803011,0.5037893492683573,-0.0006866735710039756
26,0.0,52.14811255512984,0.0026261289045523533,0.005704699416349177,0.5129463732116856,-0.004740800994091208
27,0.0,47.89508159175749,0.0,0.002308482580716861,0.8646247211625829,-0.00038657084039124236
28,19.989102200617115,64.02420534510448,0.15298515847814625,0.009319579287014863,-0.06538622874943353,-0.008864969487957348
29,0.0,63.90053096447295,0.08658924271623951,0.0059747226282035526,0.2585509926172617,-0.005896566647453706
30,0.0,62.87629420411436,0.0007952122249759616,0.002462696547676418,0.5551848152290502,-0.0006434386299136351
31,0.0,65.62223305023653,0.0,0.0018217852311848603,0.5788202949951825,-0.0003158987595626933
32,0.0,70.83650846288654,0.0,0.003955061471741433,0.8524881484549182,-0.0032750279582575894
33,0.0,59.34634262856096,0.0,0.0001533344868021299,0.6700693005813138,0.005028490287514732
34,4.408403232762957,75.20182549989974,0.01916170817665003,0.00562137388179561,0.25014933116684057,-0.0054291434849648625
35,0.0,62.31670932426718,0.0,0.0004905448067890396,0.768738701326672,0.002749258249008658
